scale,config,method,device,setup_ms,setup_ms_std,inference_ms,inference_ms_std,solve_ms,solve_ms_std,iters,iters_std,total_ms,total_ms_std,n_frames
8192,v2_8192_d128_L2_hw,cg,gpu,0.0000,0.0000,,,70.5520,70.6288,1764.6000,1744.1951,70.5520,70.6288,20
8192,v2_8192_d128_L2_hw,cg,cpu,0.0000,0.0000,,,3362.9170,1406.9681,789.8000,325.2598,3362.9170,1406.9681,20
8192,v2_8192_d128_L2_hw,jacobi,gpu,0.0000,0.0000,,,39.1095,10.6522,967.8000,261.3027,39.1095,10.6522,20
8192,v2_8192_d128_L2_hw,jacobi,cpu,0.0000,0.0000,,,2385.2770,668.8175,561.2500,151.6956,2385.2770,668.8175,20
8192,v2_8192_d128_L2_hw,ic_amgx,gpu,6.9195,0.3268,,,443.9360,76.6477,30.1000,5.3597,450.8550,76.5873,20
8192,v2_8192_d128_L2_hw,ic,cpu,4.8605,0.8717,,,738.6290,211.9176,169.6000,46.6887,743.4900,212.2470,20
8192,v2_8192_d128_L2_hw,leafonly,gpu,,,2.2570,0.0142,18.5255,4.9980,218.2500,59.1803,20.7810,4.9950,20
8192,v2_8192_d128_L2_hw,amg_cpu,cpu,13.4520,0.9585,,,46.6615,43.5375,7.2500,7.5315,60.1135,43.4377,20
8192,v2_8192_d128_L2_hw,amgx_gpu,gpu,16.3535,0.2695,,,101.6180,3.6103,2.0000,0.0000,117.9720,3.6408,20
