scale,config,method,device,setup_ms,setup_ms_std,inference_ms,inference_ms_std,solve_ms,solve_ms_std,iters,iters_std,total_ms,total_ms_std,n_frames
8192,v2_8192_d128_L3_hw,cg,gpu,0.0000,0.0000,,,77.5520,75.6099,1764.6000,1744.1951,77.5520,75.6099,20
8192,v2_8192_d128_L3_hw,cg,cpu,0.0000,0.0000,,,6492.3925,2649.0961,789.8000,325.2598,6492.3925,2649.0961,20
8192,v2_8192_d128_L3_hw,jacobi,gpu,0.0000,0.0000,,,39.5110,10.6467,967.8000,261.3027,39.5110,10.6467,20
8192,v2_8192_d128_L3_hw,jacobi,cpu,0.0000,0.0000,,,4562.5900,1309.1661,561.2500,151.6956,4562.5900,1309.1661,20
8192,v2_8192_d128_L3_hw,ic_amgx,gpu,8.4540,0.3591,,,494.5755,121.1765,30.1000,5.3597,503.0300,121.2064,20
8192,v2_8192_d128_L3_hw,ic,cpu,6.8635,4.4718,,,1472.0235,464.2940,169.6000,46.6887,1478.8870,463.2737,20
8192,v2_8192_d128_L3_hw,leafonly,gpu,,,3.3505,0.2041,14.5695,2.2477,168.0000,26.3339,17.9215,2.3448,20
8192,v2_8192_d128_L3_hw,amg_cpu,cpu,19.0875,4.2825,,,90.7515,85.3425,7.2500,7.5315,109.8400,84.4720,20
8192,v2_8192_d128_L3_hw,amgx_gpu,gpu,29.3970,30.8786,,,105.0715,3.9850,2.0000,0.0000,134.4685,31.9088,20
