scale,config,method,device,setup_ms,setup_ms_std,inference_ms,inference_ms_std,solve_ms,solve_ms_std,iters,iters_std,total_ms,total_ms_std,n_frames
8192,v2_8192_d128_L1_hw,cg,gpu,0.0000,0.0000,,,71.7465,71.5983,1764.6000,1744.1951,71.7465,71.5983,20
8192,v2_8192_d128_L1_hw,cg,cpu,0.0000,0.0000,,,3599.0810,1533.7436,789.8000,325.2598,3599.0810,1533.7436,20
8192,v2_8192_d128_L1_hw,jacobi,gpu,0.0000,0.0000,,,39.2830,10.5811,967.8000,261.3027,39.2830,10.5811,20
8192,v2_8192_d128_L1_hw,jacobi,cpu,0.0000,0.0000,,,2559.1135,738.2531,561.2500,151.6956,2559.1135,738.2531,20
8192,v2_8192_d128_L1_hw,ic_amgx,gpu,7.8890,0.3565,,,450.8935,80.2998,30.1000,5.3597,458.7830,80.1363,20
8192,v2_8192_d128_L1_hw,ic,cpu,6.1275,0.8843,,,795.0565,223.5361,169.6000,46.6887,801.1835,224.0079,20
8192,v2_8192_d128_L1_hw,leafonly,gpu,,,1.3245,0.0310,35.5920,18.7088,420.6000,220.7152,36.9155,18.7049,20
8192,v2_8192_d128_L1_hw,amg_cpu,cpu,15.6165,1.2872,,,48.6860,45.6294,7.2500,7.5315,64.3030,45.8231,20
8192,v2_8192_d128_L1_hw,amgx_gpu,gpu,18.4765,0.6198,,,101.7850,3.3235,2.0000,0.0000,120.2615,3.5079,20
