scale,config,method,device,setup_ms,setup_ms_std,inference_ms,inference_ms_std,solve_ms,solve_ms_std,iters,iters_std,total_ms,total_ms_std,n_frames
8192,v2_8192_d128_L3_hw,cg,gpu,0.0000,0.0000,,,70.5855,68.7873,1764.6000,1744.1951,70.5855,68.7873,20
8192,v2_8192_d128_L3_hw,cg,cpu,0.0000,0.0000,,,3099.8490,1357.2324,789.8000,325.2598,3099.8490,1357.2324,20
8192,v2_8192_d128_L3_hw,jacobi,gpu,0.0000,0.0000,,,38.8050,10.5358,967.8000,261.3027,38.8050,10.5358,20
8192,v2_8192_d128_L3_hw,jacobi,cpu,0.0000,0.0000,,,2251.6955,631.6817,561.2500,151.6956,2251.6955,631.6817,20
8192,v2_8192_d128_L3_hw,ic_amgx,gpu,7.8505,0.6398,,,441.7310,83.6236,30.1000,5.3597,449.5805,83.6792,20
8192,v2_8192_d128_L3_hw,ic,cpu,5.4690,1.5107,,,705.8090,206.0121,169.6000,46.6887,711.2785,206.8795,20
8192,v2_8192_d128_L3_hw,leafonly,gpu,,,3.2255,0.0209,14.8855,2.3632,174.3000,27.1818,18.1100,2.3631,20
8192,v2_8192_d128_L3_hw,amg_cpu,cpu,15.4540,1.5737,,,49.3280,46.7684,7.2500,7.5315,64.7800,46.4223,20
8192,v2_8192_d128_L3_hw,amgx_gpu,gpu,18.2515,0.9576,,,99.4935,3.8838,2.0000,0.0000,117.7455,4.0878,20
