model_name,train_split,eval_cell,method,device,setup_ms,setup_ms_std,inference_ms,inference_ms_std,solve_ms,solve_ms_std,iters,iters_std,total_ms,total_ms_std,n_frames
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_id,cg,gpu,0.0000,0.0000,,,44.0585,18.5082,1179.7500,494.5150,44.0585,18.5082,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_id,cg,cpu,0.0000,0.0000,,,420.6760,150.6047,501.6000,184.4381,420.6760,150.6047,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_id,jacobi,gpu,0.0000,0.0000,,,28.5115,7.6255,757.5000,200.3438,28.5115,7.6255,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_id,jacobi,cpu,0.0000,0.0000,,,296.1350,67.5584,355.0000,83.8482,296.1350,67.5584,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_id,ic_amgx,gpu,8.0960,9.5693,,,292.9780,78.1167,23.8500,6.3683,301.0745,77.3319,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_id,ic,cpu,4.5350,1.7264,,,96.6470,22.7700,107.5500,26.0636,101.1810,22.7298,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_id,leafonly,gpu,,,2.1905,0.0474,5.9830,1.4682,77.5500,19.1297,8.1735,1.4699,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_id,amg_cpu,cpu,10.4935,3.5478,,,7.0255,10.7632,3.3000,5.8947,17.5175,10.9082,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_id,amgx_gpu,gpu,14.4105,5.6611,,,107.2490,33.5081,1.6000,0.5026,121.6595,32.5632,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_closed_only,cg,gpu,0.0000,0.0000,,,56.1690,100.5278,1508.2500,2699.8907,56.1690,100.5278,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_closed_only,cg,cpu,0.0000,0.0000,,,531.4445,226.4508,607.5000,261.0056,531.4445,226.4508,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_closed_only,jacobi,gpu,0.0000,0.0000,,,24.7310,8.0699,661.9500,217.3495,24.7310,8.0699,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_closed_only,jacobi,cpu,0.0000,0.0000,,,363.4220,88.3168,413.8500,100.0012,363.4220,88.3168,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_closed_only,ic_amgx,gpu,6.2070,0.1459,,,247.7645,10.4886,20.1500,0.8127,253.9720,10.4472,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_closed_only,ic,cpu,4.2095,0.3053,,,120.9125,29.9286,125.9500,30.9303,125.1220,30.0430,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_closed_only,leafonly,gpu,,,2.1790,0.0159,5.2315,1.2504,68.1000,16.3479,7.4115,1.2482,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_closed_only,amg_cpu,cpu,10.1110,0.6797,,,16.8085,13.4944,8.3000,7.1089,26.9210,13.8117,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_closed_only,amgx_gpu,gpu,13.7370,0.2721,,,100.1115,34.3419,1.5000,0.5130,113.8475,34.2979,20
