scale,config,method,device,setup_ms,setup_ms_std,inference_ms,inference_ms_std,solve_ms,solve_ms_std,iters,iters_std,total_ms,total_ms_std,n_frames
8192,v2_8192_d128_L3_nohw,cg,gpu,0.0000,0.0000,,,71.3950,70.9185,1764.6000,1744.1951,71.3950,70.9185,20
8192,v2_8192_d128_L3_nohw,cg,cpu,0.0000,0.0000,,,3548.2240,1516.8291,789.8000,325.2598,3548.2240,1516.8291,20
8192,v2_8192_d128_L3_nohw,jacobi,gpu,0.0000,0.0000,,,39.1405,10.5399,967.8000,261.3027,39.1405,10.5399,20
8192,v2_8192_d128_L3_nohw,jacobi,cpu,0.0000,0.0000,,,2521.2865,693.1423,561.2500,151.6956,2521.2865,693.1423,20
8192,v2_8192_d128_L3_nohw,ic_amgx,gpu,7.7325,0.4068,,,448.1885,79.4730,30.1000,5.3597,455.9225,79.3697,20
8192,v2_8192_d128_L3_nohw,ic,cpu,5.8810,0.9260,,,775.9650,220.2255,169.6000,46.6887,781.8470,220.5131,20
8192,v2_8192_d128_L3_nohw,leafonly,gpu,,,2.6810,0.0055,235.0040,929.5846,2805.7000,11110.0368,237.6880,929.5861,20
8192,v2_8192_d128_L3_nohw,amg_cpu,cpu,17.5275,8.4034,,,48.0520,45.1485,7.2500,7.5315,65.5805,47.9894,20
8192,v2_8192_d128_L3_nohw,amgx_gpu,gpu,18.5345,0.9770,,,101.4835,3.0497,2.0000,0.0000,120.0180,3.5589,20
