scale,config,method,device,setup_ms,setup_ms_std,inference_ms,inference_ms_std,solve_ms,solve_ms_std,iters,iters_std,total_ms,total_ms_std,n_frames
8192,v2_8192_d256_L3_hw,cg,gpu,0.0000,0.0000,,,70.7195,67.7418,1764.6000,1744.1951,70.7195,67.7418,20
8192,v2_8192_d256_L3_hw,cg,cpu,0.0000,0.0000,,,3667.6100,1605.8774,789.8000,325.2598,3667.6100,1605.8774,20
8192,v2_8192_d256_L3_hw,jacobi,gpu,0.0000,0.0000,,,39.2485,10.5664,967.8000,261.3027,39.2485,10.5664,20
8192,v2_8192_d256_L3_hw,jacobi,cpu,0.0000,0.0000,,,2601.4295,784.7791,561.2500,151.6956,2601.4295,784.7791,20
8192,v2_8192_d256_L3_hw,ic_amgx,gpu,7.9270,0.4047,,,448.8915,79.8564,30.1000,5.3597,456.8190,79.7388,20
8192,v2_8192_d256_L3_hw,ic,cpu,5.3595,0.8843,,,806.0390,249.7711,169.6000,46.6887,811.4010,249.4266,20
8192,v2_8192_d256_L3_hw,leafonly,gpu,,,4.3225,0.0186,38.3690,7.5778,453.9000,89.4462,42.6905,7.5748,20
8192,v2_8192_d256_L3_hw,amg_cpu,cpu,16.7025,1.0282,,,49.5930,46.8638,7.2500,7.5315,66.2945,46.8687,20
8192,v2_8192_d256_L3_hw,amgx_gpu,gpu,18.2465,0.9736,,,101.1355,3.1621,2.0000,0.0000,119.3815,3.6084,20
