run,step,progress,metric_raw,metric_smooth,pcg_iters
default_smoothing,0,0.0,0.238944,0.2352803333333333,5000.0
default_smoothing,100,0.0037174721189591076,0.237333,0.23511457142857142,
default_smoothing,200,0.007434944237918215,0.23412,0.234989875,
default_smoothing,300,0.011152416356877323,0.234239,0.2348081111111111,
default_smoothing,400,0.01486988847583643,0.234263,0.23455900000000002,
default_smoothing,500,0.01858736059479554,0.290616,0.2342001818181818,
default_smoothing,600,0.022304832713754646,0.24439,0.23364127272727273,
default_smoothing,700,0.026022304832713755,0.234117,0.23283309090909093,
default_smoothing,800,0.02973977695167286,0.233354,0.23207627272727274,
default_smoothing,900,0.03345724907063197,0.232317,0.23140018181818184,
default_smoothing,1000,0.03717472118959108,0.230612,0.23067000000000001,
default_smoothing,1100,0.040892193308550186,0.22965,0.2298578181818182,
default_smoothing,1200,0.04460966542750929,0.228443,0.22900245454545456,
default_smoothing,1300,0.048327137546468404,0.227473,0.22810472727272726,
default_smoothing,1400,0.05204460966542751,0.226826,0.2271988181818182,
default_smoothing,1500,0.055762081784386616,0.226219,0.22623254545454544,
default_smoothing,1600,0.05947955390334572,0.225305,0.2249412727272727,
default_smoothing,1700,0.06319702602230483,0.224711,0.22330009090909095,
default_smoothing,1800,0.06691449814126393,0.224242,0.22142199999999998,
default_smoothing,1900,0.07063197026022305,0.223389,0.21940654545454547,
default_smoothing,2000,0.07434944237918216,0.221688,0.21717527272727272,621.0
default_smoothing,2100,0.07806691449814127,0.216408,0.21473645454545454,
default_smoothing,2200,0.08178438661710037,0.211597,0.2121469090909091,
default_smoothing,2300,0.08550185873605948,0.207784,0.20933581818181815,
default_smoothing,2400,0.08921933085501858,0.205303,0.20652554545454543,
default_smoothing,2500,0.09293680297397769,0.202282,0.20370890909090908,
default_smoothing,2600,0.09665427509293681,0.199392,0.200603,
default_smoothing,2700,0.10037174721189591,0.19682,0.19783436363636364,
default_smoothing,2800,0.10408921933085502,0.193789,0.19537045454545454,
default_smoothing,2900,0.10780669144981413,0.193329,0.193049,
default_smoothing,3000,0.11152416356877323,0.192406,0.19083109090909092,
default_smoothing,3100,0.11524163568773234,0.187523,0.1888316363636364,
default_smoothing,3200,0.11895910780669144,0.185953,0.18704409090909094,
default_smoothing,3300,0.12267657992565056,0.184494,0.18531754545454546,
default_smoothing,3400,0.12639405204460966,0.180906,0.18351463636363638,
default_smoothing,3500,0.13011152416356878,0.179729,0.181446,
default_smoothing,3600,0.13382899628252787,0.182248,0.17905036363636365,
default_smoothing,3700,0.137546468401487,0.180288,0.176197,
default_smoothing,3800,0.1412639405204461,0.177828,0.1727922727272727,
default_smoothing,3900,0.1449814126394052,0.173957,0.16886509090909094,
default_smoothing,4000,0.14869888475836432,0.170574,0.1648420909090909,459.0
default_smoothing,4100,0.1524163568773234,0.166054,0.1604389090909091,
default_smoothing,4200,0.15613382899628253,0.156136,0.15591845454545455,
default_smoothing,4300,0.15985130111524162,0.148501,0.15126572727272727,
default_smoothing,4400,0.16356877323420074,0.141295,0.14658227272727273,
default_smoothing,4500,0.16728624535315986,0.137995,0.14186918181818184,
default_smoothing,4600,0.17100371747211895,0.132471,0.1374230909090909,
default_smoothing,4700,0.17472118959107807,0.130563,0.13314754545454546,
default_smoothing,4800,0.17843866171003717,0.128549,0.12974018181818184,
default_smoothing,4900,0.1821561338289963,0.12631,0.12702154545454547,
default_smoothing,5000,0.18587360594795538,0.122113,0.12454390909090908,
default_smoothing,5100,0.1895910780669145,0.121667,0.12232063636363638,
default_smoothing,5200,0.19330855018587362,0.118655,0.12050909090909091,
default_smoothing,5300,0.1970260223048327,0.119023,0.11870672727272727,
default_smoothing,5400,0.20074349442379183,0.118596,0.11694872727272729,
default_smoothing,5500,0.20446096654275092,0.113539,0.11534518181818182,
default_smoothing,5600,0.20817843866171004,0.114041,0.11411327272727273,
default_smoothing,5700,0.21189591078066913,0.112544,0.11278763636363637,
default_smoothing,5800,0.21561338289962825,0.108562,0.11162663636363636,
default_smoothing,5900,0.21933085501858737,0.108671,0.11032372727272727,
default_smoothing,6000,0.22304832713754646,0.110737,0.10901327272727274,363.0
default_smoothing,6100,0.22676579925650558,0.107085,0.10803109090909091,
default_smoothing,6200,0.23048327137546468,0.106252,0.1069770909090909,
