step,elapsed_s,on_diag_grad_l2,off_diag_grad_l2,off_over_on
0.0,45.041,1.181323757072971,0.7074048438975309,0.5988238530394967
100.0,22.394,0.0013502122055440025,0.00039758758783442927,0.2944630378853971
200.0,6.234,0.0008137072815208182,0.00037350708159283945,0.45901897411407583
300.0,6.241,0.0020187741329826875,0.0004441367357019683,0.2200031833406581
400.0,6.236,0.0009952232161681116,0.0005106028299960743,0.5130535760229131
500.0,6.237,0.003459262060035348,0.0010827530466362124,0.31300116263095384
600.0,6.242,0.0018116028814284878,0.0006736039266512629,0.3718275862534022
700.0,6.237,0.0010011583291368053,0.0004762329681993887,0.47568197191147066
800.0,6.235,0.0010145590175046496,0.0004300267433544105,0.42385581906519276
900.0,6.237,0.006455238183057229,0.003074672301237971,0.4763065612835052
1000.0,6.237,0.005724604789852309,0.002663445955899988,0.46526285283856306
1100.0,6.239,0.005088899684607666,0.0022789450563802543,0.4478266811337139
1200.0,6.24,0.013202723203945464,0.007069929035004523,0.5354902110567435
1300.0,6.241,0.028451851679635896,0.013144650844130475,0.46199632249378747
1400.0,6.242,0.00851141586341544,0.0030927931776955275,0.36336999946028475
1500.0,6.247,0.01933677584293721,0.008194051012777502,0.42375477066774775
1600.0,6.248,0.02399858537497575,0.008960518726055987,0.37337695476832
1700.0,6.247,0.02028828479689695,0.008101960315874178,0.39934180720458706
1800.0,6.247,0.028064671742245622,0.008027702161889166,0.28604297372932047
1900.0,6.248,0.018456324119390622,0.005752849175843219,0.3117007015388914
2000.0,6.248,0.019751248061831435,0.004515170557132919,0.2286017847073837
2100.0,6.248,0.016575282803017267,0.004548435472775227,0.27441073113680187
2200.0,6.248,0.02496276827597452,0.005282336278579772,0.21160859325300754
2300.0,6.248,0.02384632885791857,0.0054699828893699474,0.22938469573078746
2400.0,6.248,0.02165541271830209,0.0046875158013707004,0.21645931492264023
2500.0,6.25,0.01790170103649371,0.005966203953101167,0.333275812222464
2600.0,6.249,0.04698710993453417,0.012082166258167448,0.2571378889870263
2700.0,6.248,0.03236386565291606,0.008141895532515753,0.2515736414133257
2800.0,6.247,0.04596947356670511,0.011509005931982137,0.25036192583936634
2900.0,6.24,0.03569612864163284,0.011828851712655797,0.331376319023561
3000.0,6.231,0.038166646433764655,0.011924026721288408,0.3124200797149328
3100.0,6.246,0.018012329110917335,0.005094393888383583,0.2828281593686767
3200.0,6.253,0.048157942231785614,0.015076075757636666,0.3130548162767226
3300.0,6.25,0.06261924624266887,0.019206698524473174,0.30672196931341683
3400.0,6.249,0.04269508168395981,0.01374181660807624,0.32185947575406393
3500.0,6.25,0.04610375689680831,0.017882668374993704,0.3878787669087265
3600.0,6.25,0.03388959869930595,0.011862141122074042,0.3500230624541734
3700.0,6.249,0.0337035324558124,0.009083445841749704,0.26951020204362
3800.0,6.25,0.07510832177595236,0.022153438497217535,0.2949531819297081
3900.0,6.25,0.048481027216840195,0.010229705071017444,0.21100429710911922
4000.0,6.246,0.0978813056717165,0.015700530692460683,0.1604037725561058
4100.0,6.248,0.033174551993960674,0.01070134727218961,0.3225769943822529
4200.0,6.249,0.0628780565857438,0.020483176761674445,0.32576033474798183
4300.0,6.248,0.050709762373728394,0.013835193039491715,0.27283095782478806
4400.0,6.249,0.08419097338788761,0.02696282071835215,0.32025785702854503
4500.0,6.248,0.051814886856964185,0.013203852468124597,0.25482739168328283
4600.0,6.249,0.05963539217612306,0.018672491114203268,0.31311089661416525
4700.0,6.249,0.07233180489936636,0.021644246546368855,0.2992355379004024
4800.0,6.249,0.12078257324630899,0.047571422495548736,0.3938599850703419
4900.0,6.249,0.036855990015192915,0.010569559917044797,0.2867799755938661
5000.0,6.248,0.03658382839452427,0.011018329692380783,0.30118033502557007
5100.0,6.249,0.05202086120009933,0.018353985868197677,0.35281972356433483
5200.0,6.249,0.05681918690020124,0.024504419259390745,0.43127015003630675
5300.0,6.249,0.15284966470359038,0.037089956476652815,0.2426564464408772
5400.0,6.248,0.08940352342050062,0.0221897226438277,0.24819740648766758
5500.0,6.249,0.09037449861548333,0.022008570408138736,0.2435263348102065
5600.0,6.25,0.06398671737165457,0.017552018108753193,0.27430721296117855
5700.0,6.25,0.07323073125403023,0.013070166695187938,0.17847925961368336
5800.0,6.25,0.15254805800140492,0.03342836866435454,0.21913336100317102
5900.0,6.25,0.12300406497347964,0.02030270872593113,0.1650572176643797
6000.0,6.248,0.07249758616671317,0.014598989480097588,0.2013720766719903
6100.0,6.249,0.0647892738036166,0.02405379202454366,0.3712619483504838
6200.0,6.248,0.12968064620443562,0.027612480928196223,0.21292676846062603
6300.0,6.246,0.1107773442541389,0.024253508666582654,0.2189392499872688
6400.0,6.247,0.06976345748312651,0.01400657605591031,0.20077238946045703
6500.0,6.245,0.1671604319209543,0.03456110529034047,0.2067541037862566
6600.0,6.243,0.08286259711112125,0.029169102328319946,0.35201771782754165
6700.0,6.241,0.10212771416221945,0.0181299568328223,0.17752239910143014
6800.0,6.24,0.09716583761796119,0.026323783133128872,0.27091603158539435
6900.0,6.246,0.09536671327040688,0.02597831778156546,0.27240445739076086
7000.0,6.246,0.1270771812718554,0.04130682286935174,0.32505303041766653
7100.0,6.244,0.13921566003866087,0.03856062149927047,0.27698479817975935
7200.0,6.246,0.13801021737538133,0.02473143226766295,0.17920000952099518
7300.0,6.244,0.08163712390818285,0.019741922630787508,0.24182530796885027
7400.0,6.238,0.08780102505096396,0.02935462995099751,0.33433128979939203
7500.0,6.244,0.09652864859719108,0.016972148803554604,0.1758249913388768
7600.0,6.235,0.13738871860527704,0.034538537376241046,0.25139281978072425
7700.0,6.238,0.0905466730476609,0.03237044785850205,0.3575001352226743
7800.0,6.246,0.11258663330964293,0.02509552020202012,0.22289964149652491
7900.0,6.245,0.10860805679138173,0.03364708481711306,0.3098028434643996
8000.0,6.244,0.15108633293584167,0.020117126376299373,0.13314987520970573
8100.0,6.248,0.13773129637086845,0.02521850802902503,0.18309932958969083
8200.0,6.247,0.19533640213744083,0.026350544927192684,0.1348982813180523
8300.0,6.246,0.09891847602950624,0.01777902554725652,0.17973412309701622
8400.0,6.246,0.09344640174988013,0.031371503028066725,0.33571654382194516
8500.0,6.246,0.10679116115109902,0.016111199852587018,0.1508664170229524
8600.0,6.245,0.12811557282391553,0.02440344178102753,0.19047990219399855
8700.0,6.246,0.15147815816149862,0.018494634390817246,0.12209439707538013
8800.0,6.246,0.10500697310178977,0.029091733864622098,0.2770457333002226
8900.0,6.249,0.0772513715088606,0.02108793917005642,0.2729781848292191
9000.0,6.248,0.08658018017999268,0.019702414752765712,0.2275626443812672
9100.0,6.249,0.11349227330527835,0.024975232852568162,0.22006108543960765
9200.0,6.247,0.07312195292796822,0.021425292989595265,0.2930076691291483
9300.0,6.248,0.13414350524717922,0.027764396283729995,0.20697533013297956
9400.0,6.247,0.07588609622322129,0.014292524319027762,0.18834180476204576
9500.0,6.248,0.06568623067279779,0.024816618525496173,0.3778054893896251
9600.0,6.248,0.08711599393911545,0.02257376120100503,0.25912304021672095
9700.0,6.248,0.07221946344303591,0.012187183269320273,0.16875206057066708
9800.0,6.248,0.07108498364633702,0.016929605099056506,0.23816007587882287
9900.0,6.248,0.06247346956908988,0.012789285467140062,0.2047154665068873
10000.0,6.249,0.065373178750922,0.015650452039477965,0.23940172924904982
10100.0,6.249,0.047722610993113104,0.013373669961532624,0.2802375998132749
10200.0,6.248,0.094635340121965,0.016746242115770332,0.1769554808403283
10300.0,6.247,0.07425264709086135,0.014064778818381753,0.18941787760335316
10400.0,6.248,0.07747401112631254,0.02200409280111316,0.2840190211042255
10500.0,6.247,0.06670620360955944,0.01016460275465795,0.15237867251676868
10600.0,6.247,0.0966348570651398,0.01302504065252773,0.13478615323814042
10700.0,6.246,0.05021066520172781,0.019255662128319553,0.38349745120797446
10800.0,6.247,0.07584907514268054,0.013670511751942574,0.18023307108526798
10900.0,6.246,0.1270980255550809,0.021163095563740197,0.16651002618894872
11000.0,6.247,0.06219363391859331,0.015136839744147389,0.24338246200503977
11100.0,6.249,0.07906584850616605,0.020732074184702312,0.2622127578013091
11200.0,6.247,0.09415291870144017,0.012245369288020674,0.1300583078773252
11300.0,6.247,0.06895786322095544,0.01868598478138094,0.27097685323437487
11400.0,6.247,0.06898934990272049,0.017231640103019794,0.2497724667259155
11500.0,6.246,0.0700645195516247,0.013920169760459102,0.19867644636030782
11600.0,6.248,0.06199308106555118,0.015670212380181705,0.2527735694183694
11700.0,6.247,0.07481342192414407,0.015417673718495926,0.2060816538258127
11800.0,6.248,0.06765731593848517,0.018534920133628847,0.27395293290205325
11900.0,6.247,0.08193448602389594,0.02043288053628269,0.24938071290669356
12000.0,6.247,0.050283062754768626,0.01212847388627275,0.24120396057462787
12100.0,6.249,0.06707354247391441,0.017161050929357446,0.25585425037050274
