run,step,elapsed_s,on_diag_grad_l2,off_diag_grad_l2,off_over_on
default_smoothing,0.0,39.803,1.06059584767243,0.6297732474343445,0.5937919225465919
default_smoothing,100.0,17.719,0.012283523517297472,0.0027211734601087084,0.22153036596354403
default_smoothing,200.0,6.352,0.0031979715445888506,0.0011457752833780278,0.3582818881915146
default_smoothing,300.0,6.356,0.005876744166628321,0.0019938046544232964,0.33927028264141823
default_smoothing,400.0,6.354,0.003887162718487612,0.0004371226944463076,0.11245289330629823
default_smoothing,500.0,6.355,0.08672773489489968,0.047358210481393825,0.5460561207874793
default_smoothing,600.0,6.356,0.01423651993992914,0.00486038694858753,0.34140274232016576
default_smoothing,700.0,6.357,0.02406263077886539,0.009640440446369657,0.40063950342607657
default_smoothing,800.0,6.359,0.032128081175196256,0.006927836725125672,0.21563182336809297
default_smoothing,900.0,6.361,0.14185700546677277,0.015665696644579837,0.11043301381579791
default_smoothing,1000.0,6.361,0.10007492193351938,0.014730605948500557,0.14719577756239693
default_smoothing,1100.0,6.363,0.08501588086939993,0.013911552788959254,0.1636347544328802
default_smoothing,1200.0,6.363,0.1875484204145692,0.026728663434597698,0.1425160679866827
default_smoothing,1300.0,6.363,0.1056251863903681,0.020206333388321594,0.19130222704311553
default_smoothing,1400.0,6.364,0.1413102614816065,0.03181883544380592,0.22517002735818717
default_smoothing,1500.0,6.364,0.15463020403530484,0.029812215013312916,0.19279684198377087
default_smoothing,1600.0,6.365,0.5405844984828921,0.04345572339105633,0.0803865510628059
default_smoothing,1700.0,6.364,0.2706336453584439,0.025505118388276498,0.09424223050499114
default_smoothing,1800.0,6.365,0.16429863054815763,0.02065984985424628,0.125745721588292
default_smoothing,1900.0,6.365,0.06719836307530117,0.01962485732432213,0.2920436812178133
default_smoothing,2000.0,6.366,1.8840993630910234,0.042659747174590715,0.022641983756421322
default_smoothing,2100.0,6.368,1.6019362222011213,0.04151694613046581,0.025916728490863353
default_smoothing,2200.0,6.367,2.313415278327694,0.07088201654157421,0.030639555814126432
default_smoothing,2300.0,6.365,0.9320220812834855,0.07540741525871311,0.08090732695395986
default_smoothing,2400.0,6.365,2.1942451481090255,0.06207793045036215,0.028291246538182012
default_smoothing,2500.0,6.365,4.044128489551241,0.10672347663002739,0.026389734378066215
default_smoothing,2600.0,6.365,4.79980895453142,0.11110852289991079,0.023148530275359205
default_smoothing,2700.0,6.365,2.6367527074035593,0.07704008572814545,0.029217789560556748
default_smoothing,2800.0,6.365,2.052798782150847,0.09732869566576961,0.047412681901434196
default_smoothing,2900.0,6.366,11.404408665073346,0.1264277267849106,0.011085864291421154
default_smoothing,3000.0,6.365,7.483962924146539,0.11338496372976445,0.015150390893030075
default_smoothing,3100.0,6.366,0.6096829421920872,0.06774322180115144,0.11111221442014399
default_smoothing,3200.0,6.366,15.40108471017545,0.10236487727731616,0.006646601794851761
default_smoothing,3300.0,6.366,6.34122115211258,0.093309532739158,0.01471475769427658
default_smoothing,3400.0,6.366,2.0095506885868795,0.08258424924887312,0.041095877659571026
default_smoothing,3500.0,6.366,9.282461930974993,0.08025246787482612,0.008645601616423405
default_smoothing,3600.0,6.366,8.091655542594482,0.07350249315499441,0.009083739757343503
default_smoothing,3700.0,6.366,1.0565060340575438,0.1550092452081488,0.14671875049575536
default_smoothing,3800.0,6.365,13.002079035292779,0.08845201467462457,0.006802913167542734
default_smoothing,3900.0,6.365,1.7329157509815645,0.13334894412780327,0.07695062154768417
