step,loss_avg,loss_std,elapsed_s,lr,pcg_iters,sai_loss
0,0.243740,0.000000,34.6772,2.000000e-04,885,26.835461
100,0.239956,0.013482,21.0622,2.000000e-04,,
200,0.237467,0.001435,2.3828,2.000000e-04,,
300,0.236934,0.001375,2.2721,2.000000e-04,,
400,0.236515,0.001527,1.9082,2.000000e-04,,
500,0.233354,0.001587,1.9257,2.000000e-04,,
600,0.231358,0.001678,1.9242,2.000000e-04,,
700,0.230024,0.001686,2.5174,2.000000e-04,,
800,0.228783,0.001406,2.0934,2.000000e-04,,
900,0.227463,0.001645,2.4561,2.000000e-04,,
1000,0.224988,0.002455,2.2737,2.000000e-04,,
1100,0.215433,0.002650,2.1260,2.000000e-04,,
1200,0.211153,0.002069,2.1773,2.000000e-04,,
1300,0.206379,0.002621,1.9325,2.000000e-04,,
1400,0.201606,0.003287,2.2161,2.000000e-04,,
1500,0.197968,0.003284,2.1488,2.000000e-04,,
1600,0.194514,0.003373,2.1212,2.000000e-04,,
1700,0.190334,0.004363,2.1999,2.000000e-04,,
1800,0.188088,0.003995,1.9324,2.000000e-04,,
1900,0.186040,0.004078,2.1947,2.000000e-04,,
2000,0.181482,0.005380,2.4571,2.000000e-04,360,6.374758
2100,0.178533,0.004601,2.1703,2.000000e-04,,
2200,0.175197,0.004779,2.4570,2.000000e-04,,
2300,0.161443,0.005645,1.8988,2.000000e-04,,
2400,0.149442,0.004982,2.3497,2.000000e-04,,
2500,0.139032,0.005722,1.8789,2.000000e-04,,
2600,0.129611,0.005511,2.1620,2.000000e-04,,
2700,0.122803,0.004357,2.1604,2.000000e-04,,
2800,0.117159,0.004644,2.3911,2.000000e-04,,
2900,0.113187,0.004103,2.4441,2.000000e-04,,
3000,0.112475,0.006022,2.1201,2.000000e-04,,
3100,0.105240,0.004311,2.2247,2.000000e-04,,
3200,0.103874,0.004439,2.4602,2.000000e-04,,
3300,0.107312,0.007626,2.1902,2.000000e-04,,
3400,0.106325,0.004596,2.4742,2.000000e-04,,
3500,0.101928,0.005302,2.2389,2.000000e-04,,
3600,0.097040,0.004499,2.1981,2.000000e-04,,
3700,0.097683,0.006250,1.9319,2.000000e-04,,
3800,0.093712,0.006477,2.1934,2.000000e-04,,
3900,0.100219,0.010153,2.4391,2.000000e-04,,
4000,0.094931,0.006024,2.1462,2.000000e-04,609,0.203450
4100,0.089716,0.004453,2.5130,2.000000e-04,,
4200,0.090038,0.007655,2.1671,2.000000e-04,,
4300,0.086676,0.004345,2.1581,2.000000e-04,,
4400,0.083832,0.004450,2.5292,2.000000e-04,,
4500,0.083999,0.004913,2.0889,2.000000e-04,,
4600,0.080942,0.004631,2.4054,2.000000e-04,,
4700,0.083148,0.005487,2.2456,2.000000e-04,,
4800,0.078013,0.004006,2.1193,2.000000e-04,,
4900,0.078312,0.004149,2.1441,2.000000e-04,,
5000,0.076862,0.003898,2.1861,2.000000e-04,,
5100,0.076033,0.004483,2.3871,2.000000e-04,,
5200,0.079269,0.008723,2.2077,2.000000e-04,,
5300,0.074663,0.004873,2.4690,2.000000e-04,,
5400,0.080022,0.008662,2.1702,2.000000e-04,,
5500,0.071521,0.004159,2.4487,2.000000e-04,,
5600,0.070084,0.003688,1.8978,2.000000e-04,,
5700,0.072068,0.005959,2.1857,2.000000e-04,,
5800,0.069684,0.004282,2.4136,2.000000e-04,,
5900,0.068903,0.003964,2.2046,2.000000e-04,,
6000,0.067465,0.004025,2.3304,2.000000e-04,174,0.350941
6100,0.067531,0.004336,2.1991,2.000000e-04,,
6200,0.067100,0.005357,2.1005,2.000000e-04,,
6300,0.066591,0.005011,2.0468,2.000000e-04,,
6400,0.065481,0.004363,2.2373,2.000000e-04,,
6500,0.065843,0.004079,2.1715,2.000000e-04,,
6600,0.080497,0.011900,2.4561,2.000000e-04,,
6700,0.067198,0.004497,1.8757,2.000000e-04,,
6800,0.063414,0.004057,1.9155,2.000000e-04,,
6900,0.062662,0.004570,1.9148,2.000000e-04,,
7000,0.061829,0.003638,2.3335,2.000000e-04,,
7100,0.062713,0.004031,1.8957,2.000000e-04,,
7200,0.062917,0.006548,2.1300,2.000000e-04,,
7300,0.060594,0.003829,2.3916,2.000000e-04,,
7400,0.060420,0.004070,2.2698,2.000000e-04,,
7500,0.059210,0.004254,2.1646,2.000000e-04,,
7600,0.062851,0.006344,2.2572,2.000000e-04,,
7700,0.062257,0.005322,2.1872,2.000000e-04,,
7800,0.058658,0.004454,1.9070,2.000000e-04,,
7900,0.057022,0.003011,2.1704,2.000000e-04,,
8000,0.058835,0.004510,2.4113,2.000000e-04,153,0.461357
8100,0.059035,0.004283,2.2010,2.000000e-04,,
8200,0.056694,0.003458,2.0832,2.000000e-04,,
8300,0.057177,0.004304,2.1421,2.000000e-04,,
8400,0.055279,0.003895,2.0771,2.000000e-04,,
8500,0.054144,0.003798,2.3311,2.000000e-04,,
8600,0.054567,0.003605,2.1690,2.000000e-04,,
8700,0.056310,0.005636,2.4474,2.000000e-04,,
8800,0.053591,0.003786,2.0811,2.000000e-04,,
8900,0.053391,0.003652,2.1902,2.000000e-04,,
9000,0.054179,0.004234,2.3547,2.000000e-04,,
9100,0.054569,0.004143,2.1745,2.000000e-04,,
9200,0.053090,0.004125,2.4135,2.000000e-04,,
9300,0.053144,0.003909,2.0806,2.000000e-04,,
9400,0.053711,0.003692,2.5039,2.000000e-04,,
9500,0.052817,0.004531,2.1920,2.000000e-04,,
9600,0.052490,0.005300,2.3425,2.000000e-04,,
9700,0.052380,0.003706,2.0766,2.000000e-04,,
9800,0.051225,0.004032,2.1561,2.000000e-04,,
9900,0.051338,0.003986,1.8381,2.000000e-04,,
10000,0.050002,0.003546,2.1035,2.000000e-04,144,0.548094
10100,0.050379,0.004047,2.0972,2.000000e-04,,
10200,0.051839,0.004834,2.0391,2.000000e-04,,
10300,0.050875,0.004468,2.2473,2.000000e-04,,
10400,0.048979,0.003569,1.9744,2.000000e-04,,
10500,0.049453,0.003682,1.9567,2.000000e-04,,
10600,0.049565,0.003464,2.2299,2.000000e-04,,
10700,0.048713,0.003730,1.8994,2.000000e-04,,
10800,0.048555,0.003647,1.9564,2.000000e-04,,
10900,0.055212,0.009480,1.8810,2.000000e-04,,
11000,0.048950,0.004017,1.9762,2.000000e-04,,
11100,0.048400,0.003836,2.3886,2.000000e-04,,
11200,0.048181,0.003441,1.7970,2.000000e-04,,
11300,0.046990,0.004187,2.0664,2.000000e-04,,
11400,0.048146,0.003734,2.0246,2.000000e-04,,
11500,0.048544,0.004882,1.9315,2.000000e-04,,
11600,0.047372,0.003636,1.8288,2.000000e-04,,
11700,0.046746,0.003561,1.8424,2.000000e-04,,
11800,0.047610,0.003678,1.6244,2.000000e-04,,
11900,0.045948,0.002888,1.9370,2.000000e-04,,
12000,0.047154,0.004410,2.1216,2.000000e-04,123,0.593139
12100,0.045081,0.003581,2.0202,2.000000e-04,,
12200,0.044903,0.003398,1.9423,2.000000e-04,,
12300,0.047276,0.003769,1.9039,2.000000e-04,,
12400,0.046668,0.003513,2.1781,2.000000e-04,,
12500,0.045744,0.003515,1.6158,2.000000e-04,,
12600,0.044758,0.003343,1.8401,2.000000e-04,,
12700,0.046726,0.004522,1.8995,2.000000e-04,,
12800,0.045157,0.003041,1.8665,2.000000e-04,,
12900,0.045383,0.003387,1.9114,2.000000e-04,,
13000,0.044095,0.003610,1.8611,2.000000e-04,,
13100,0.045497,0.004069,1.8447,2.000000e-04,,
13200,0.046595,0.004730,1.9046,2.000000e-04,,
13300,0.044980,0.003173,2.2107,2.000000e-04,,
13400,0.044051,0.003396,1.8986,2.000000e-04,,
13500,0.043272,0.003061,1.9439,2.000000e-04,,
13600,0.043760,0.003657,1.9070,2.000000e-04,,
13700,0.044110,0.003333,2.0870,2.000000e-04,,
13800,0.044195,0.003849,1.6192,2.000000e-04,,
13900,0.043059,0.003184,1.8958,2.000000e-04,,
14000,0.043108,0.003397,1.6090,2.000000e-04,117,0.622527
14100,0.043762,0.003250,1.6123,1.000000e-04,,
14200,0.040897,0.002972,1.9330,1.000000e-04,,
14300,0.041782,0.003232,1.9175,1.000000e-04,,
14400,0.040559,0.003129,2.1495,1.000000e-04,,
14500,0.040454,0.003283,1.8334,1.000000e-04,,
14600,0.040001,0.003289,1.8429,1.000000e-04,,
14700,0.040396,0.003398,1.9087,1.000000e-04,,
14800,0.040517,0.003023,2.1652,1.000000e-04,,
14900,0.040161,0.003109,1.8118,1.000000e-04,,
15000,0.040525,0.002932,1.8452,1.000000e-04,,
15100,0.039627,0.003182,1.9247,1.000000e-04,,
15200,0.040082,0.003158,1.9272,1.000000e-04,,
15300,0.039207,0.002801,2.1331,1.000000e-04,,
15400,0.039751,0.003112,1.8353,1.000000e-04,,
15500,0.039604,0.003222,1.8320,1.000000e-04,,
15600,0.039477,0.002630,1.6132,1.000000e-04,,
15700,0.039722,0.003390,1.9394,1.000000e-04,,
15800,0.039394,0.002734,2.1984,1.000000e-04,,
15900,0.039250,0.003175,1.9124,5.000000e-05,,
16000,0.038816,0.003062,1.9341,5.000000e-05,111,0.739533
16100,0.038697,0.002731,1.9352,5.000000e-05,,
16200,0.038250,0.003119,1.8109,5.000000e-05,,
16300,0.038420,0.002986,1.9077,5.000000e-05,,
16400,0.038264,0.003035,1.9365,5.000000e-05,,
16500,0.037996,0.003084,1.9385,5.000000e-05,,
16600,0.038294,0.002667,1.9297,5.000000e-05,,
16700,0.038434,0.003368,1.9380,5.000000e-05,,
16800,0.037936,0.002584,2.1100,5.000000e-05,,
16900,0.038224,0.002899,1.9143,5.000000e-05,,
17000,0.037837,0.003062,1.9383,5.000000e-05,,
17100,0.037804,0.002645,1.9550,5.000000e-05,,
17200,0.037993,0.002934,1.6219,5.000000e-05,,
17300,0.037450,0.003346,2.1617,5.000000e-05,,
17400,0.038193,0.002987,2.0150,5.000000e-05,,
17500,0.038210,0.003009,2.1970,5.000000e-05,,
17600,0.037527,0.002899,2.3776,5.000000e-05,,
17700,0.036845,0.003005,2.1995,5.000000e-05,,
17800,0.037293,0.002739,2.4086,5.000000e-05,,
17900,0.037447,0.002957,2.1137,5.000000e-05,,
18000,0.037785,0.002858,2.0778,5.000000e-05,108,0.792053
18100,0.037101,0.002801,2.3851,5.000000e-05,,
18200,0.037191,0.003220,2.2078,5.000000e-05,,
18300,0.036841,0.002752,2.1369,2.500000e-05,,
18400,0.036991,0.003091,2.4773,2.500000e-05,,
18500,0.036814,0.003194,1.9170,2.500000e-05,,
18600,0.037278,0.003031,2.5161,2.500000e-05,,
18700,0.036811,0.002780,2.1729,2.500000e-05,,
18800,0.036862,0.003012,2.4869,2.500000e-05,,
18900,0.037204,0.003057,2.1068,2.500000e-05,,
19000,0.036267,0.003014,2.2001,2.500000e-05,,
19100,0.037183,0.003097,2.4694,2.500000e-05,,
19200,0.036841,0.002876,2.2119,2.500000e-05,,
19300,0.037029,0.002775,2.4152,2.500000e-05,,
19400,0.036649,0.002900,2.5069,2.500000e-05,,
19500,0.036944,0.002601,2.1979,2.500000e-05,,
19600,0.036302,0.002930,1.9163,1.250000e-05,,
19700,0.036514,0.002860,1.9288,1.250000e-05,,
19800,0.036753,0.002726,2.5121,1.250000e-05,,
19900,0.036028,0.003338,2.1196,1.250000e-05,,
20000,0.036007,0.003047,2.3652,1.250000e-05,105,0.820068
20100,0.035967,0.003277,2.1469,1.250000e-05,,
20200,0.036034,0.003099,2.1842,1.250000e-05,,
20300,0.036517,0.002941,2.5258,1.250000e-05,,
20400,0.036238,0.003085,2.1421,1.250000e-05,,
20500,0.035895,0.003130,2.1485,6.250000e-06,,
20600,0.035890,0.002808,2.5437,6.250000e-06,,
20700,0.036205,0.003220,1.9165,6.250000e-06,,
20800,0.036135,0.002900,1.9384,6.250000e-06,,
20900,0.036081,0.002959,2.5286,6.250000e-06,,
21000,0.035858,0.002918,2.4077,6.250000e-06,,
21100,0.036434,0.003303,2.2252,6.250000e-06,,
21200,0.036086,0.003057,2.3915,3.125000e-06,,
21300,0.036158,0.003095,2.1221,3.125000e-06,,
21400,0.035748,0.003282,2.4885,3.125000e-06,,
21500,0.035221,0.003085,2.1726,3.125000e-06,,
21600,0.036009,0.003170,2.1614,3.125000e-06,,
21700,0.035809,0.003366,2.4244,3.125000e-06,,
21800,0.035739,0.003167,2.1680,3.125000e-06,,
21900,0.035998,0.002920,2.4701,3.125000e-06,,
22000,0.035973,0.002904,2.3569,3.125000e-06,105,0.829309
22100,0.035985,0.003113,2.2322,1.562500e-06,,
22200,0.035920,0.002674,2.2112,1.562500e-06,,
22300,0.036191,0.002593,2.1340,1.562500e-06,,
22400,0.035729,0.003085,2.2092,1.562500e-06,,
22500,0.035896,0.002855,2.4802,1.562500e-06,,
22600,0.036025,0.002813,2.1854,1.562500e-06,,
22700,0.036037,0.003080,2.4711,1.562500e-06,,
22800,0.035805,0.002849,2.3633,1.000000e-06,,
22900,0.035105,0.002629,2.2648,1.000000e-06,,
23000,0.036227,0.003052,2.1618,1.000000e-06,,
23100,0.036820,0.003131,2.6081,1.000000e-06,,
23200,0.035643,0.002875,2.1613,1.000000e-06,,
23300,0.036114,0.002929,2.2119,1.000000e-06,,
23400,0.035875,0.003023,2.4806,1.000000e-06,,
23500,0.035701,0.002897,2.1429,1.000000e-06,,
23600,0.035467,0.003238,2.4496,1.000000e-06,,
23700,0.035525,0.003037,2.1473,1.000000e-06,,
23800,0.035815,0.002548,2.1706,1.000000e-06,,
23900,0.035900,0.003030,2.4463,1.000000e-06,,
