step,loss_avg,loss_std,elapsed_s,lr,pcg_iters,sai_loss
0,0.246355,0.000000,39.1846,2.000000e-04,1281,35.659088
100,0.244438,0.049740,17.1174,2.000000e-04,,
200,0.237288,0.001217,1.8641,2.000000e-04,,
300,0.236811,0.001577,1.8743,2.000000e-04,,
400,0.237480,0.001662,1.8734,2.000000e-04,,
500,0.234853,0.002054,1.8698,2.000000e-04,,
600,0.231376,0.001723,1.8701,2.000000e-04,,
700,0.229963,0.001481,1.8735,2.000000e-04,,
800,0.229110,0.001542,1.8753,2.000000e-04,,
900,0.227101,0.001837,1.8699,2.000000e-04,,
1000,0.224519,0.001934,1.8715,2.000000e-04,,
1100,0.222719,0.001926,1.8462,2.000000e-04,,
1200,0.220521,0.002156,1.8367,2.000000e-04,,
1300,0.217302,0.002844,1.8350,2.000000e-04,,
1400,0.207767,0.003879,1.8238,2.000000e-04,,
1500,0.201185,0.004085,1.8025,2.000000e-04,,
1600,0.194944,0.004581,1.7934,2.000000e-04,,
1700,0.191517,0.006691,1.7909,2.000000e-04,,
1800,0.184472,0.005292,1.7894,2.000000e-04,,
1900,0.179279,0.005064,1.7814,2.000000e-04,,
2000,0.174096,0.006310,1.7814,2.000000e-04,366,9.782755
2100,0.171451,0.006215,1.7765,2.000000e-04,,
2200,0.165133,0.005637,1.7760,2.000000e-04,,
2300,0.162005,0.006621,1.7731,2.000000e-04,,
2400,0.156245,0.007295,1.7718,2.000000e-04,,
2500,0.147402,0.007433,1.7727,2.000000e-04,,
2600,0.139280,0.006614,1.7759,2.000000e-04,,
2700,0.138672,0.006293,1.7702,2.000000e-04,,
2800,0.131839,0.005801,1.7964,2.000000e-04,,
2900,0.128254,0.005923,1.8134,2.000000e-04,,
3000,0.124093,0.005736,1.8195,2.000000e-04,,
3100,0.123659,0.006935,1.8219,2.000000e-04,,
3200,0.118109,0.006354,1.8232,2.000000e-04,,
3300,0.115229,0.006143,1.8247,2.000000e-04,,
3400,0.119972,0.010826,1.8273,2.000000e-04,,
3500,0.116612,0.008305,1.8203,2.000000e-04,,
3600,0.105521,0.005281,1.8281,2.000000e-04,,
3700,0.105399,0.006042,1.8316,2.000000e-04,,
3800,0.098061,0.004707,1.8193,2.000000e-04,,
3900,0.094975,0.004168,1.8243,2.000000e-04,,
4000,0.094412,0.005561,1.8246,2.000000e-04,5000,2.994093
4100,0.092259,0.005521,1.8228,2.000000e-04,,
4200,0.092049,0.004942,1.8235,2.000000e-04,,
4300,0.095397,0.006523,1.8393,2.000000e-04,,
4400,0.083387,0.004561,1.8284,2.000000e-04,,
4500,0.090541,0.008058,1.8316,2.000000e-04,,
4600,0.089075,0.006044,1.8188,2.000000e-04,,
4700,0.081709,0.004720,1.8276,2.000000e-04,,
4800,0.081926,0.005676,1.8275,2.000000e-04,,
4900,0.075534,0.004791,1.8228,2.000000e-04,,
5000,0.074532,0.004606,1.8249,2.000000e-04,,
5100,0.075249,0.005133,1.8220,2.000000e-04,,
5200,0.075056,0.005726,1.8234,2.000000e-04,,
5300,0.075173,0.007532,1.8320,2.000000e-04,,
5400,0.078147,0.010167,1.8183,2.000000e-04,,
5500,0.067376,0.004954,1.8196,2.000000e-04,,
5600,0.065024,0.005375,1.8246,2.000000e-04,,
5700,0.066201,0.004840,1.8220,2.000000e-04,,
5800,0.061694,0.004800,1.8233,2.000000e-04,,
5900,0.060000,0.004669,1.8224,2.000000e-04,,
6000,0.063781,0.005549,1.8254,2.000000e-04,171,1.365969
6100,0.059059,0.004741,1.8234,2.000000e-04,,
6200,0.055986,0.004148,1.8242,2.000000e-04,,
6300,0.054679,0.002927,1.8283,2.000000e-04,,
6400,0.059516,0.006822,1.8274,2.000000e-04,,
6500,0.056402,0.004408,1.8280,2.000000e-04,,
6600,0.053459,0.003790,1.8224,2.000000e-04,,
6700,0.051630,0.003695,1.8267,2.000000e-04,,
6800,0.053817,0.005350,1.8247,2.000000e-04,,
6900,0.049678,0.003329,1.8258,2.000000e-04,,
7000,0.053759,0.005421,1.8255,2.000000e-04,,
7100,0.050728,0.004722,1.8235,2.000000e-04,,
7200,0.049639,0.004259,1.8272,2.000000e-04,,
7300,0.048274,0.004138,1.8291,2.000000e-04,,
7400,0.047674,0.004592,1.8264,2.000000e-04,,
7500,0.049657,0.004320,1.8205,2.000000e-04,,
7600,0.048380,0.005999,1.8219,2.000000e-04,,
7700,0.049393,0.007549,1.8347,2.000000e-04,,
7800,0.049962,0.005822,1.8250,2.000000e-04,,
7900,0.045436,0.003928,1.8248,2.000000e-04,,
8000,0.044273,0.003525,1.8251,2.000000e-04,132,0.537563
8100,0.046341,0.004739,1.8246,2.000000e-04,,
8200,0.044698,0.004967,1.8295,2.000000e-04,,
8300,0.044017,0.003706,1.8258,2.000000e-04,,
8400,0.044518,0.003592,1.8264,2.000000e-04,,
8500,0.043255,0.003525,1.8306,2.000000e-04,,
8600,0.042166,0.003158,1.8269,2.000000e-04,,
8700,0.040664,0.003514,1.8270,2.000000e-04,,
8800,0.041380,0.003771,1.8281,2.000000e-04,,
8900,0.039345,0.003459,1.8282,2.000000e-04,,
9000,0.040174,0.003069,1.8313,2.000000e-04,,
9100,0.039595,0.003685,1.8236,2.000000e-04,,
9200,0.040703,0.005413,1.8223,2.000000e-04,,
9300,0.038072,0.003371,1.8271,2.000000e-04,,
9400,0.038742,0.003584,1.8244,2.000000e-04,,
9500,0.038231,0.003281,1.8244,2.000000e-04,,
9600,0.038645,0.004055,1.8259,2.000000e-04,,
9700,0.037305,0.003048,1.8183,2.000000e-04,,
9800,0.038403,0.003273,1.8227,2.000000e-04,,
9900,0.036183,0.003032,1.8181,2.000000e-04,,
10000,0.036383,0.002879,1.8146,2.000000e-04,114,0.206450
10100,0.036334,0.003615,1.8247,2.000000e-04,,
10200,0.034389,0.002871,1.8303,2.000000e-04,,
10300,0.035125,0.002985,1.8289,2.000000e-04,,
10400,0.035335,0.003418,1.8247,2.000000e-04,,
10500,0.033760,0.002474,1.8246,2.000000e-04,,
10600,0.034173,0.003318,1.8251,2.000000e-04,,
10700,0.034426,0.002475,1.8250,2.000000e-04,,
10800,0.033579,0.002970,1.8264,2.000000e-04,,
10900,0.033067,0.003096,1.8261,2.000000e-04,,
11000,0.032972,0.002953,1.8252,2.000000e-04,,
11100,0.031759,0.002462,1.8221,2.000000e-04,,
11200,0.032013,0.002680,1.8261,2.000000e-04,,
11300,0.032278,0.002297,1.8243,2.000000e-04,,
11400,0.031873,0.002964,1.8241,2.000000e-04,,
11500,0.032541,0.003235,1.8242,2.000000e-04,,
11600,0.031284,0.002865,1.8268,2.000000e-04,,
11700,0.030654,0.003007,1.8243,2.000000e-04,,
11800,0.030253,0.002976,1.8281,2.000000e-04,,
11900,0.031845,0.002994,1.8279,2.000000e-04,,
12000,0.030116,0.002666,1.8271,2.000000e-04,96,0.134780
12100,0.029489,0.002791,1.8256,2.000000e-04,,
12200,0.030157,0.002412,1.8267,2.000000e-04,,
12300,0.029657,0.002454,1.8252,2.000000e-04,,
12400,0.031383,0.004061,1.8278,2.000000e-04,,
12500,0.029203,0.002562,1.8329,2.000000e-04,,
12600,0.029548,0.002608,1.8452,2.000000e-04,,
12700,0.029359,0.002800,1.8767,2.000000e-04,,
12800,0.029294,0.002826,1.8983,2.000000e-04,,
12900,0.027862,0.002489,1.8992,2.000000e-04,,
13000,0.028439,0.002360,1.8960,2.000000e-04,,
13100,0.028150,0.003017,1.8962,2.000000e-04,,
13200,0.028168,0.002497,1.8966,2.000000e-04,,
13300,0.027533,0.002436,1.8971,2.000000e-04,,
13400,0.027934,0.002576,1.8967,2.000000e-04,,
13500,0.028305,0.002758,1.8947,2.000000e-04,,
13600,0.026867,0.002339,1.8969,2.000000e-04,,
13700,0.027284,0.002345,1.8954,2.000000e-04,,
13800,0.027416,0.003009,1.8959,2.000000e-04,,
13900,0.027164,0.002541,1.8920,2.000000e-04,,
14000,0.027414,0.002597,1.8951,2.000000e-04,93,0.130654
14100,0.026595,0.002555,1.8974,2.000000e-04,,
14200,0.027023,0.003079,1.8922,2.000000e-04,,
14300,0.027073,0.002640,1.8970,2.000000e-04,,
14400,0.026902,0.002361,1.8957,2.000000e-04,,
14500,0.026186,0.002415,1.8937,2.000000e-04,,
14600,0.026344,0.002894,1.8975,2.000000e-04,,
14700,0.026287,0.003047,1.8950,2.000000e-04,,
14800,0.025067,0.002459,1.8926,2.000000e-04,,
14900,0.026325,0.002457,1.8970,2.000000e-04,,
15000,0.025805,0.002897,1.8948,2.000000e-04,,
15100,0.025898,0.002318,1.8951,2.000000e-04,,
15200,0.027743,0.004013,1.8936,2.000000e-04,,
15300,0.026198,0.002705,1.8936,2.000000e-04,,
15400,0.025445,0.002654,1.8950,1.000000e-04,,
15500,0.022712,0.002040,1.8937,1.000000e-04,,
15600,0.022639,0.002224,1.8956,1.000000e-04,,
15700,0.022898,0.002000,1.8945,1.000000e-04,,
15800,0.022424,0.002031,1.8931,1.000000e-04,,
15900,0.022516,0.002147,1.8965,1.000000e-04,,
16000,0.021954,0.002105,1.8940,1.000000e-04,84,0.194870
16100,0.022000,0.002092,1.8999,1.000000e-04,,
16200,0.022437,0.002283,1.8963,1.000000e-04,,
16300,0.021889,0.002026,1.8940,1.000000e-04,,
16400,0.022217,0.002099,1.8936,1.000000e-04,,
16500,0.022099,0.002029,1.8973,1.000000e-04,,
16600,0.021791,0.002370,1.8966,1.000000e-04,,
16700,0.021702,0.002272,1.8949,1.000000e-04,,
16800,0.021450,0.001992,1.8928,1.000000e-04,,
16900,0.021348,0.001886,1.8936,1.000000e-04,,
17000,0.021306,0.002031,1.8958,1.000000e-04,,
