step,loss_avg,loss_std,elapsed_s,lr,pcg_iters,sai_loss
0,0.257034,0.000000,47.8900,2.000000e-04,393,16.081112
100,0.251168,0.004618,16.4942,2.000000e-04,,
200,0.249821,0.002457,1.5093,2.000000e-04,,
300,0.247243,0.002880,1.5075,2.000000e-04,,
400,0.244038,0.002349,1.5011,2.000000e-04,,
500,0.242875,0.002259,1.4920,2.000000e-04,,
600,0.241225,0.002593,1.4930,2.000000e-04,,
700,0.239777,0.002375,1.4861,2.000000e-04,,
800,0.237946,0.002360,1.4898,2.000000e-04,,
900,0.234626,0.002288,1.4931,2.000000e-04,,
1000,0.230918,0.002646,1.4950,2.000000e-04,,
1100,0.223110,0.003639,1.5064,2.000000e-04,,
1200,0.217230,0.003946,1.5304,2.000000e-04,,
1300,0.208137,0.004343,1.5085,2.000000e-04,,
1400,0.200227,0.003894,1.5103,2.000000e-04,,
1500,0.191037,0.004759,1.5038,2.000000e-04,,
1600,0.184378,0.004722,1.5092,2.000000e-04,,
1700,0.178092,0.005941,1.5056,2.000000e-04,,
1800,0.171552,0.005677,1.4987,2.000000e-04,,
1900,0.164040,0.005196,1.4964,2.000000e-04,,
2000,0.157226,0.006323,1.4841,2.000000e-04,144,5.219382
2100,0.149773,0.007625,1.5032,2.000000e-04,,
2200,0.144488,0.007050,1.5131,2.000000e-04,,
2300,0.133838,0.007918,1.5224,2.000000e-04,,
2400,0.121230,0.008163,1.5045,2.000000e-04,,
2500,0.112769,0.007142,1.4992,2.000000e-04,,
2600,0.105823,0.005493,1.5047,2.000000e-04,,
2700,0.101437,0.007154,1.5039,2.000000e-04,,
2800,0.100858,0.008949,1.5066,2.000000e-04,,
2900,0.088115,0.005610,1.4978,2.000000e-04,,
3000,0.088589,0.006706,1.5237,2.000000e-04,,
3100,0.082471,0.006470,1.5190,2.000000e-04,,
3200,0.081751,0.006099,1.4995,2.000000e-04,,
3300,0.078713,0.006983,1.4963,2.000000e-04,,
3400,0.075434,0.006759,1.4985,2.000000e-04,,
3500,0.074494,0.007228,1.4935,2.000000e-04,,
3600,0.074397,0.010378,1.4913,2.000000e-04,,
3700,0.071129,0.009438,1.4944,2.000000e-04,,
3800,0.073955,0.012562,1.4913,2.000000e-04,,
3900,0.072707,0.010338,1.4358,2.000000e-04,,
4000,0.063414,0.005565,1.4877,2.000000e-04,84,1.621328
4100,0.064968,0.005946,1.5000,2.000000e-04,,
4200,0.063492,0.007480,1.4891,2.000000e-04,,
4300,0.059200,0.005658,1.4895,2.000000e-04,,
4400,0.061240,0.006397,1.4855,2.000000e-04,,
4500,0.057646,0.005677,1.4937,2.000000e-04,,
4600,0.057067,0.007996,1.4818,2.000000e-04,,
4700,0.055164,0.006397,1.4798,2.000000e-04,,
4800,0.058855,0.009960,1.4814,2.000000e-04,,
4900,0.059003,0.013936,1.4804,2.000000e-04,,
5000,0.051943,0.005957,1.5073,2.000000e-04,,
5100,0.056194,0.008580,1.4709,2.000000e-04,,
5200,0.050912,0.005830,1.4258,2.000000e-04,,
5300,0.052046,0.006051,1.4296,2.000000e-04,,
5400,0.049621,0.005301,1.4100,2.000000e-04,,
5500,0.052136,0.007922,1.4370,2.000000e-04,,
5600,0.045998,0.004604,1.4300,2.000000e-04,,
5700,0.045769,0.005495,1.4647,2.000000e-04,,
5800,0.049384,0.008373,1.4965,2.000000e-04,,
5900,0.043807,0.004628,1.4975,2.000000e-04,,
6000,0.046662,0.007514,1.4925,2.000000e-04,72,1.196888
6100,0.043641,0.005021,1.4907,2.000000e-04,,
6200,0.047709,0.006865,1.5080,2.000000e-04,,
6300,0.044494,0.006012,1.4902,2.000000e-04,,
6400,0.045440,0.007390,1.4870,2.000000e-04,,
6500,0.043339,0.005987,1.4934,2.000000e-04,,
6600,0.044326,0.006985,1.4922,2.000000e-04,,
6700,0.039982,0.004717,1.4933,2.000000e-04,,
6800,0.039770,0.004755,1.4909,2.000000e-04,,
6900,0.041397,0.008905,1.5146,2.000000e-04,,
7000,0.038761,0.005380,1.5207,2.000000e-04,,
7100,0.046140,0.008735,1.5045,2.000000e-04,,
7200,0.038132,0.004760,1.5217,2.000000e-04,,
7300,0.040465,0.006742,1.4893,2.000000e-04,,
7400,0.035083,0.003841,1.4868,2.000000e-04,,
7500,0.040146,0.007839,1.4949,2.000000e-04,,
7600,0.035783,0.004654,1.5006,2.000000e-04,,
7700,0.038133,0.006123,1.4886,2.000000e-04,,
7800,0.038571,0.007923,1.4970,2.000000e-04,,
7900,0.035137,0.004580,1.4975,2.000000e-04,,
8000,0.040204,0.007303,1.4919,1.000000e-04,69,1.239835
8100,0.031230,0.003764,1.4973,1.000000e-04,,
8200,0.030118,0.003556,1.5030,1.000000e-04,,
8300,0.031287,0.004560,1.4852,1.000000e-04,,
8400,0.031310,0.003377,1.4883,1.000000e-04,,
8500,0.030196,0.003407,1.4957,1.000000e-04,,
8600,0.032564,0.005728,1.4918,1.000000e-04,,
8700,0.029650,0.004573,1.4899,1.000000e-04,,
8800,0.028668,0.003678,1.4873,1.000000e-04,,
8900,0.028505,0.003386,1.4974,1.000000e-04,,
9000,0.029275,0.003577,1.4965,1.000000e-04,,
9100,0.029126,0.003624,1.5132,1.000000e-04,,
9200,0.028818,0.003649,1.5122,1.000000e-04,,
