step,loss_avg,loss_std,elapsed_s,lr
10700,0.094282,0.004769,1.6309,5.000000e-05
10800,0.093824,0.004837,1.9462,5.000000e-05
10900,0.094223,0.004235,1.6273,5.000000e-05
11000,0.093335,0.004632,1.9664,5.000000e-05
11100,0.093246,0.004356,1.8383,5.000000e-05
11200,0.093495,0.004341,1.6254,5.000000e-05
11300,0.092634,0.004764,1.9318,5.000000e-05
11400,0.092086,0.004523,1.6325,5.000000e-05
11500,0.092742,0.004156,2.0951,5.000000e-05
11600,0.093058,0.004318,1.6289,5.000000e-05
11700,0.092384,0.003886,1.9306,5.000000e-05
11800,0.092486,0.004213,1.8389,5.000000e-05
11900,0.092631,0.003895,2.0142,5.000000e-05
12000,0.091780,0.004432,1.9506,2.500000e-05
12100,0.092026,0.003992,1.8347,2.500000e-05
12200,0.091103,0.004070,1.9089,2.500000e-05
12300,0.090763,0.004659,1.6781,2.500000e-05
12400,0.090762,0.004371,2.1301,2.500000e-05
12500,0.090919,0.004002,1.8839,2.500000e-05
12600,0.091209,0.004492,1.7790,2.500000e-05
12700,0.090572,0.004510,1.7829,2.500000e-05
12800,0.090230,0.003996,1.7704,2.500000e-05
12900,0.090400,0.004161,2.0349,2.500000e-05
13000,0.090779,0.004298,1.8300,2.500000e-05
13100,0.090760,0.004177,1.6219,2.500000e-05
13200,0.090951,0.004418,1.9874,2.500000e-05
13300,0.090322,0.004759,1.8426,1.250000e-05
13400,0.089428,0.004398,1.6234,1.250000e-05
13500,0.090347,0.004179,1.6271,1.250000e-05
13600,0.089952,0.004137,2.1942,1.250000e-05
13700,0.089359,0.004332,1.9465,1.250000e-05
13800,0.089292,0.003985,1.6261,1.250000e-05
13900,0.089334,0.004031,1.9532,1.250000e-05
14000,0.089904,0.004704,1.9622,6.250000e-06
14100,0.089149,0.004063,1.9514,6.250000e-06
14200,0.089650,0.004309,1.6277,6.250000e-06
14300,0.089274,0.004080,1.8302,6.250000e-06
14400,0.088984,0.004324,1.9443,6.250000e-06
14500,0.089161,0.003622,1.7978,6.250000e-06
14600,0.088606,0.004243,1.8204,6.250000e-06
