step,loss_avg,loss_std,elapsed_s,lr,pcg_iters,sai_loss
0,0.238448,0.000000,35.2390,2.000000e-04,1449,55.583706
100,0.236555,0.018987,18.7943,2.000000e-04,,
200,0.233497,0.001115,3.3503,2.000000e-04,,
300,0.233034,0.001184,3.0936,2.000000e-04,,
400,0.232530,0.000973,3.5412,2.000000e-04,,
500,0.232103,0.001175,3.3319,2.000000e-04,,
600,0.229856,0.001221,3.2846,2.000000e-04,,
700,0.228606,0.001114,3.3906,2.000000e-04,,
800,0.227490,0.001051,3.2751,2.000000e-04,,
900,0.226398,0.001075,3.3331,2.000000e-04,,
1000,0.225223,0.001026,3.2785,2.000000e-04,,
1100,0.224317,0.001410,3.6087,2.000000e-04,,
1200,0.221884,0.002069,3.0884,2.000000e-04,,
1300,0.213998,0.002457,3.0948,2.000000e-04,,
1400,0.207658,0.002221,3.5129,2.000000e-04,,
1500,0.202454,0.002282,3.2651,2.000000e-04,,
1600,0.199012,0.002227,3.3275,2.000000e-04,,
1700,0.194595,0.002416,3.3413,2.000000e-04,,
1800,0.192309,0.002823,3.3523,2.000000e-04,,
1900,0.189412,0.002920,3.3719,2.000000e-04,,
2000,0.187020,0.003233,3.4372,2.000000e-04,486,5.220178
2100,0.183399,0.003325,3.5478,2.000000e-04,,
2200,0.182375,0.004048,3.3059,2.000000e-04,,
2300,0.179566,0.004837,3.4082,2.000000e-04,,
2400,0.177904,0.004567,3.3118,2.000000e-04,,
2500,0.167833,0.004551,3.4258,2.000000e-04,,
2600,0.156740,0.004739,3.5828,2.000000e-04,,
2700,0.149873,0.005833,3.4823,2.000000e-04,,
2800,0.142169,0.004165,3.2990,2.000000e-04,,
2900,0.136197,0.005456,3.2223,2.000000e-04,,
3000,0.131483,0.006996,3.3221,2.000000e-04,,
3100,0.133031,0.007240,3.3244,2.000000e-04,,
3200,0.126335,0.005069,3.3039,2.000000e-04,,
3300,0.119756,0.003503,3.2287,2.000000e-04,,
3400,0.117892,0.004470,3.4505,2.000000e-04,,
3500,0.117128,0.005287,3.2696,2.000000e-04,,
3600,0.115532,0.005003,3.2657,2.000000e-04,,
3700,0.112898,0.005095,3.3375,2.000000e-04,,
3800,0.112487,0.007102,3.3335,2.000000e-04,,
3900,0.110274,0.005302,3.3797,2.000000e-04,,
4000,0.108337,0.004068,3.3780,2.000000e-04,333,0.183220
4100,0.105370,0.003815,3.3208,2.000000e-04,,
4200,0.105011,0.008128,2.8471,2.000000e-04,,
4300,0.108579,0.006197,3.2930,2.000000e-04,,
4400,0.104996,0.004915,3.3884,2.000000e-04,,
4500,0.102757,0.004132,3.6550,2.000000e-04,,
4600,0.103792,0.007230,3.1049,2.000000e-04,,
4700,0.101459,0.004691,3.3062,2.000000e-04,,
4800,0.099380,0.004063,3.3926,2.000000e-04,,
4900,0.098871,0.004359,3.3533,2.000000e-04,,
5000,0.098359,0.003482,3.2995,2.000000e-04,,
5100,0.095668,0.004085,3.2911,2.000000e-04,,
5200,0.095737,0.005113,3.3737,2.000000e-04,,
5300,0.095159,0.004908,3.5053,2.000000e-04,,
