step,loss_avg,loss_std,elapsed_s,lr,pcg_iters,sai_loss
0,0.249649,0.000000,38.8167,2.000000e-04,651,9.639647
100,0.243333,0.002129,9.2659,2.000000e-04,,
200,0.242916,0.002019,0.9857,2.000000e-04,,
300,0.242233,0.001862,0.8650,2.000000e-04,,
400,0.239824,0.001742,0.8805,2.000000e-04,,
500,0.239161,0.001723,0.9367,2.000000e-04,,
600,0.238606,0.001600,0.9932,2.000000e-04,,
700,0.238059,0.001617,0.9549,2.000000e-04,,
800,0.237654,0.001708,0.9788,2.000000e-04,,
900,0.236889,0.001916,0.9845,2.000000e-04,,
1000,0.235078,0.002069,0.9874,2.000000e-04,,
1100,0.233265,0.001653,0.9821,2.000000e-04,,
1200,0.232890,0.001824,0.9788,2.000000e-04,,
1300,0.232431,0.002210,0.9824,2.000000e-04,,
1400,0.231990,0.001955,0.9770,2.000000e-04,,
1500,0.231442,0.002315,0.9583,2.000000e-04,,
1600,0.230718,0.001902,0.9850,2.000000e-04,,
1700,0.230338,0.001914,0.9802,2.000000e-04,,
1800,0.229107,0.001649,0.9734,2.000000e-04,,
1900,0.228603,0.001972,0.9502,2.000000e-04,,
2000,0.227184,0.002283,0.8861,2.000000e-04,465,9.036204
2100,0.223939,0.002468,0.8239,2.000000e-04,,
2200,0.218492,0.003278,0.8444,2.000000e-04,,
2300,0.212898,0.002823,0.9242,2.000000e-04,,
2400,0.209687,0.002407,0.8437,2.000000e-04,,
2500,0.206201,0.002746,0.8898,2.000000e-04,,
2600,0.203013,0.002273,0.8792,2.000000e-04,,
2700,0.200405,0.002937,0.9033,2.000000e-04,,
2800,0.199179,0.002772,0.9025,2.000000e-04,,
2900,0.197431,0.002604,0.8807,2.000000e-04,,
3000,0.195376,0.002509,0.8939,2.000000e-04,,
3100,0.194516,0.002959,0.8885,2.000000e-04,,
3200,0.192372,0.002796,0.8931,2.000000e-04,,
3300,0.190841,0.002450,0.8965,2.000000e-04,,
3400,0.189643,0.002587,0.8923,2.000000e-04,,
3500,0.188107,0.002805,0.8832,2.000000e-04,,
3600,0.186054,0.003068,0.9142,2.000000e-04,,
3700,0.185706,0.002688,0.8894,2.000000e-04,,
3800,0.184064,0.003040,0.8830,2.000000e-04,,
3900,0.183085,0.003117,0.9148,2.000000e-04,,
4000,0.182065,0.002907,0.8764,2.000000e-04,348,2.667355
4100,0.180737,0.002666,0.8970,2.000000e-04,,
4200,0.180330,0.002619,0.8984,2.000000e-04,,
4300,0.179175,0.002672,0.8710,2.000000e-04,,
4400,0.177007,0.002768,0.8899,2.000000e-04,,
4500,0.176959,0.003100,0.8807,2.000000e-04,,
4600,0.175031,0.003269,0.9163,2.000000e-04,,
4700,0.172347,0.002676,0.9443,2.000000e-04,,
4800,0.169650,0.003670,0.9169,2.000000e-04,,
4900,0.159212,0.008334,0.9168,2.000000e-04,,
5000,0.147214,0.005155,0.8927,2.000000e-04,,
5100,0.137930,0.004843,0.8616,2.000000e-04,,
5200,0.131389,0.005558,0.8631,2.000000e-04,,
5300,0.131583,0.008343,0.8587,2.000000e-04,,
5400,0.121966,0.005554,0.8333,2.000000e-04,,
5500,0.118740,0.009253,0.8527,2.000000e-04,,
5600,0.111583,0.005123,0.8741,2.000000e-04,,
5700,0.112686,0.006519,0.8193,2.000000e-04,,
5800,0.108843,0.005674,0.8410,2.000000e-04,,
5900,0.108002,0.005463,0.8845,2.000000e-04,,
6000,0.107958,0.008023,0.8810,2.000000e-04,213,0.311377
6100,0.100123,0.005098,0.8909,2.000000e-04,,
6200,0.100611,0.007538,0.8949,2.000000e-04,,
6300,0.099778,0.005964,0.8869,2.000000e-04,,
6400,0.099365,0.008073,0.8693,2.000000e-04,,
6500,0.099570,0.007060,0.8733,2.000000e-04,,
6600,0.094713,0.004861,0.8669,2.000000e-04,,
6700,0.093099,0.004905,0.8942,2.000000e-04,,
6800,0.096335,0.005475,0.8578,2.000000e-04,,
6900,0.093046,0.005284,0.8488,2.000000e-04,,
7000,0.096412,0.006751,0.8785,2.000000e-04,,
7100,0.094481,0.007064,0.8939,2.000000e-04,,
7200,0.092650,0.006836,0.8807,2.000000e-04,,
7300,0.094487,0.011076,0.8930,1.000000e-04,,
7400,0.085891,0.004391,0.8949,1.000000e-04,,
7500,0.083218,0.003786,0.8733,1.000000e-04,,
7600,0.084596,0.004575,0.8934,1.000000e-04,,
7700,0.082622,0.005187,0.8963,1.000000e-04,,
7800,0.083575,0.004869,0.8816,1.000000e-04,,
7900,0.082231,0.005611,0.8763,1.000000e-04,,
8000,0.081478,0.004698,0.8966,1.000000e-04,180,0.184441
8100,0.081311,0.004799,0.8762,1.000000e-04,,
8200,0.080208,0.005162,0.8882,1.000000e-04,,
8300,0.081296,0.005278,0.8963,1.000000e-04,,
8400,0.080847,0.004623,0.8938,1.000000e-04,,
8500,0.078269,0.004903,0.8866,1.000000e-04,,
8600,0.077698,0.004435,0.8901,1.000000e-04,,
8700,0.079070,0.005155,0.8920,1.000000e-04,,
8800,0.078500,0.004098,0.9047,1.000000e-04,,
8900,0.076868,0.004235,0.9000,1.000000e-04,,
9000,0.080713,0.006383,0.8707,1.000000e-04,,
9100,0.076892,0.005883,0.8819,1.000000e-04,,
9200,0.075711,0.004462,0.8945,1.000000e-04,,
9300,0.079225,0.004573,0.8920,1.000000e-04,,
9400,0.076574,0.004312,0.8922,1.000000e-04,,
9500,0.076148,0.005141,0.8846,1.000000e-04,,
9600,0.077222,0.007165,0.8882,1.000000e-04,,
9700,0.075040,0.005065,0.9108,1.000000e-04,,
9800,0.072527,0.004247,0.8989,1.000000e-04,,
9900,0.073680,0.004761,0.8622,1.000000e-04,,
10000,0.073464,0.004725,0.8978,1.000000e-04,177,0.312634
10100,0.072876,0.004489,0.9007,1.000000e-04,,
10200,0.073130,0.004821,0.8931,1.000000e-04,,
10300,0.074926,0.005718,0.8967,1.000000e-04,,
10400,0.071671,0.004667,0.8973,1.000000e-04,,
10500,0.072652,0.004640,0.9030,1.000000e-04,,
10600,0.070229,0.004444,0.8900,1.000000e-04,,
10700,0.070725,0.004323,0.8858,1.000000e-04,,
10800,0.077908,0.008687,0.8957,1.000000e-04,,
10900,0.070812,0.005146,0.8921,1.000000e-04,,
11000,0.071572,0.005119,0.8773,1.000000e-04,,
11100,0.069715,0.004303,0.8744,1.000000e-04,,
11200,0.072487,0.005752,0.9086,1.000000e-04,,
11300,0.071631,0.005192,0.8836,1.000000e-04,,
11400,0.069370,0.004741,0.8836,1.000000e-04,,
11500,0.069739,0.004889,0.8932,1.000000e-04,,
