step,loss_avg,loss_std,elapsed_s,lr,pcg_iters,sai_loss
0,0.241274,0.000000,42.2144,2.000000e-04,5000,56.787621
100,0.242569,0.054599,21.1548,2.000000e-04,,
200,0.234756,0.002188,3.5189,2.000000e-04,,
300,0.233562,0.001171,3.9949,2.000000e-04,,
400,0.232918,0.000927,3.5790,2.000000e-04,,
500,0.232916,0.003075,3.5269,2.000000e-04,,
600,0.233694,0.002646,4.0528,2.000000e-04,,
700,0.230917,0.001143,3.7356,2.000000e-04,,
800,0.228891,0.001018,3.3249,2.000000e-04,,
900,0.227471,0.001153,3.3209,2.000000e-04,,
1000,0.226595,0.001215,4.0316,2.000000e-04,,
1100,0.224833,0.001431,3.7948,2.000000e-04,,
1200,0.223406,0.001189,3.5311,2.000000e-04,,
1300,0.222323,0.001498,3.8211,2.000000e-04,,
1400,0.221200,0.001571,3.8306,2.000000e-04,,
1500,0.217856,0.002074,3.7314,2.000000e-04,,
1600,0.211792,0.002542,3.7335,2.000000e-04,,
1700,0.205150,0.003320,3.5339,2.000000e-04,,
1800,0.199384,0.003368,3.5203,2.000000e-04,,
1900,0.196718,0.003240,3.5224,2.000000e-04,,
2000,0.191348,0.003436,3.7881,2.000000e-04,525,21.894192
2100,0.187804,0.003227,3.2817,2.000000e-04,,
2200,0.187876,0.004026,4.0866,2.000000e-04,,
2300,0.183122,0.003571,3.8426,2.000000e-04,,
2400,0.181668,0.003753,3.4510,2.000000e-04,,
2500,0.174095,0.004042,3.5371,2.000000e-04,,
2600,0.175661,0.005261,3.7122,2.000000e-04,,
2700,0.172115,0.005426,4.0680,2.000000e-04,,
2800,0.166711,0.004817,3.8150,2.000000e-04,,
2900,0.159866,0.005340,3.8245,2.000000e-04,,
3000,0.162103,0.005550,3.5509,2.000000e-04,,
3100,0.163748,0.005496,3.7489,2.000000e-04,,
3200,0.161379,0.007355,3.5509,2.000000e-04,,
3300,0.151760,0.004430,3.6313,2.000000e-04,,
3400,0.144457,0.003546,3.8187,2.000000e-04,,
3500,0.141899,0.004393,3.3184,2.000000e-04,,
3600,0.148454,0.006187,3.8036,2.000000e-04,,
3700,0.153613,0.006995,3.5113,2.000000e-04,,
3800,0.147095,0.007492,3.5856,2.000000e-04,,
3900,0.137446,0.002472,3.7806,2.000000e-04,,
4000,0.139974,0.008189,3.7916,2.000000e-04,414,6.122043
4100,0.135159,0.005326,3.7623,2.000000e-04,,
4200,0.134416,0.006944,3.5657,2.000000e-04,,
4300,0.126904,0.003697,3.9965,2.000000e-04,,
4400,0.123121,0.004129,3.5486,2.000000e-04,,
4500,0.124626,0.006400,3.5864,2.000000e-04,,
4600,0.119317,0.003539,3.8664,2.000000e-04,,
4700,0.114379,0.003589,3.5581,2.000000e-04,,
4800,0.116292,0.008191,3.5359,2.000000e-04,,
4900,0.113781,0.004293,3.8758,2.000000e-04,,
5000,0.113517,0.003933,3.3207,2.000000e-04,,
5100,0.110363,0.004750,3.7555,2.000000e-04,,
5200,0.109853,0.004545,4.0905,2.000000e-04,,
5300,0.106867,0.004864,3.5823,2.000000e-04,,
5400,0.103320,0.003678,3.7320,2.000000e-04,,
5500,0.103531,0.004053,3.5544,2.000000e-04,,
5600,0.103053,0.005367,3.8757,2.000000e-04,,
5700,0.100634,0.004453,3.9765,2.000000e-04,,
5800,0.097617,0.004177,3.5159,2.000000e-04,,
5900,0.096846,0.004991,3.3962,2.000000e-04,,
6000,0.094979,0.003104,3.4891,2.000000e-04,342,1.584530
