#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=21 lookahead_threads=7 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=cbr mbtree=1 bitrate=9650 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=9650 vbv_bufsize=19300 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:34 out:34 type:B dur:2 cpbdur:2 q:2.37 aq:0.24 tex:321 mv:10 misc:509 imb:0 pmb:10 smb:8150 d:s ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:2.63 aq:1.58 tex:323 mv:54 misc:503 imb:0 pmb:13 smb:8147 d:s ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:2.63 aq:1.58 tex:324 mv:60 misc:504 imb:0 pmb:13 smb:8147 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:1.00 aq:0.00 tex:11003 mv:208 misc:1477 imb:6 pmb:311 smb:7843 d:s ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:1.05 aq:0.10 tex:365 mv:11 misc:512 imb:0 pmb:11 smb:8149 d:s ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:1.05 aq:1.52 tex:438 mv:59 misc:527 imb:0 pmb:16 smb:8144 d:s ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:1.05 aq:1.52 tex:438 mv:60 misc:526 imb:0 pmb:16 smb:8144 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:0.25 aq:0.00 tex:10262 mv:209 misc:1457 imb:6 pmb:301 smb:7853 d:s ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:1.00 aq:0.71 tex:345 mv:10 misc:501 imb:0 pmb:10 smb:8150 d:s ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:1.00 aq:1.52 tex:438 mv:59 misc:527 imb:0 pmb:16 smb:8144 d:s ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:0.99 aq:1.52 tex:443 mv:64 misc:533 imb:0 pmb:17 smb:8143 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:10256 mv:197 misc:1451 imb:6 pmb:301 smb:7853 d:s ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:0.25 aq:0.44 tex:637 mv:13 misc:550 imb:0 pmb:18 smb:8142 d:s ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:0.25 aq:1.32 tex:438 mv:65 misc:529 imb:0 pmb:17 smb:8143 d:s ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:0.25 aq:1.32 tex:442 mv:64 misc:526 imb:0 pmb:17 smb:8143 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:10237 mv:202 misc:1457 imb:6 pmb:301 smb:7853 d:s ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:0.00 aq:0.57 tex:810 mv:15 misc:583 imb:0 pmb:24 smb:8136 d:s ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:0.00 aq:1.32 tex:394 mv:67 misc:531 imb:0 pmb:17 smb:8143 d:s ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:0.00 aq:1.32 tex:396 mv:69 misc:535 imb:0 pmb:17 smb:8143 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:10256 mv:197 misc:1451 imb:6 pmb:301 smb:7853 d:s ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:0.00 aq:0.37 tex:784 mv:12 misc:580 imb:0 pmb:23 smb:8137 d:s ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:0.00 aq:1.32 tex:389 mv:64 misc:531 imb:0 pmb:16 smb:8144 d:s ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:0.00 aq:1.32 tex:396 mv:68 misc:528 imb:0 pmb:17 smb:8143 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:10237 mv:202 misc:1457 imb:6 pmb:301 smb:7853 d:s ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:0.00 aq:0.57 tex:810 mv:15 misc:583 imb:0 pmb:24 smb:8136 d:s ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:0.00 aq:1.32 tex:394 mv:67 misc:531 imb:0 pmb:17 smb:8143 d:s ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:0.00 aq:1.32 tex:396 mv:69 misc:535 imb:0 pmb:17 smb:8143 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:10256 mv:197 misc:1451 imb:6 pmb:301 smb:7853 d:s ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:0.00 aq:0.37 tex:784 mv:12 misc:580 imb:0 pmb:23 smb:8137 d:s ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:0.00 aq:1.32 tex:389 mv:64 misc:531 imb:0 pmb:16 smb:8144 d:s ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:0.00 aq:1.32 tex:396 mv:68 misc:528 imb:0 pmb:17 smb:8143 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:10237 mv:202 misc:1457 imb:6 pmb:301 smb:7853 d:s ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:0.00 aq:0.57 tex:810 mv:15 misc:583 imb:0 pmb:24 smb:8136 d:s ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:0.00 aq:1.32 tex:394 mv:67 misc:531 imb:0 pmb:17 smb:8143 d:s ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:0.00 aq:1.32 tex:396 mv:69 misc:535 imb:0 pmb:17 smb:8143 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:10256 mv:197 misc:1451 imb:6 pmb:301 smb:7853 d:s ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:0.00 aq:0.37 tex:784 mv:12 misc:580 imb:0 pmb:23 smb:8137 d:- ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:0.00 aq:1.32 tex:389 mv:64 misc:531 imb:0 pmb:16 smb:8144 d:s ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:0.00 aq:1.32 tex:396 mv:68 misc:528 imb:0 pmb:17 smb:8143 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:10237 mv:202 misc:1457 imb:6 pmb:301 smb:7853 d:s ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:0.00 aq:0.57 tex:810 mv:15 misc:583 imb:0 pmb:24 smb:8136 d:s ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:0.00 aq:1.32 tex:394 mv:67 misc:531 imb:0 pmb:17 smb:8143 d:s ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:0.00 aq:1.32 tex:396 mv:69 misc:535 imb:0 pmb:17 smb:8143 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:10256 mv:197 misc:1451 imb:6 pmb:301 smb:7853 d:s ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:0.00 aq:0.37 tex:784 mv:12 misc:580 imb:0 pmb:23 smb:8137 d:s ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:0.00 aq:1.32 tex:389 mv:64 misc:531 imb:0 pmb:16 smb:8144 d:- ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:0.00 aq:1.32 tex:396 mv:68 misc:528 imb:0 pmb:17 smb:8143 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:10237 mv:202 misc:1457 imb:6 pmb:301 smb:7853 d:- ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:0.00 aq:0.57 tex:810 mv:15 misc:583 imb:0 pmb:24 smb:8136 d:- ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:0.00 aq:1.32 tex:394 mv:67 misc:531 imb:0 pmb:17 smb:8143 d:- ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:0.00 aq:1.32 tex:396 mv:69 misc:535 imb:0 pmb:17 smb:8143 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:10256 mv:197 misc:1451 imb:6 pmb:301 smb:7853 d:- ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:0.00 aq:0.37 tex:784 mv:12 misc:580 imb:0 pmb:23 smb:8137 d:- ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:0.00 aq:1.32 tex:389 mv:64 misc:531 imb:0 pmb:16 smb:8144 d:- ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:0.00 aq:1.32 tex:396 mv:68 misc:528 imb:0 pmb:17 smb:8143 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:3.58 aq:0.05 tex:7291 mv:181 misc:1336 imb:6 pmb:221 smb:7933 d:- ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:3.55 aq:0.28 tex:323 mv:10 misc:507 imb:0 pmb:10 smb:8150 d:- ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:3.54 aq:0.00 tex:264 mv:52 misc:508 imb:0 pmb:12 smb:8148 d:- ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:3.57 aq:0.00 tex:266 mv:54 misc:504 imb:0 pmb:12 smb:8148 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:3.37 aq:0.04 tex:7514 mv:192 misc:1318 imb:6 pmb:226 smb:7928 d:- ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:3.58 aq:0.00 tex:221 mv:8 misc:491 imb:0 pmb:8 smb:8152 d:- ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:3.58 aq:0.00 tex:264 mv:52 misc:508 imb:0 pmb:12 smb:8148 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:3.58 aq:0.00 tex:266 mv:54 misc:504 imb:0 pmb:12 smb:8148 d:- ref:0 ;
