#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=21 lookahead_threads=7 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=cbr mbtree=1 bitrate=5800 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=5800 vbv_bufsize=11600 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:34 out:34 type:B dur:2 cpbdur:2 q:7.49 aq:0.00 tex:211 mv:8 misc:493 imb:0 pmb:8 smb:8152 d:s ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:7.75 aq:0.00 tex:25 mv:45 misc:458 imb:0 pmb:6 smb:8154 d:s ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:7.74 aq:0.00 tex:27 mv:46 misc:463 imb:0 pmb:6 smb:8154 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:5.78 aq:0.66 tex:51218 mv:220 misc:1338 imb:6 pmb:439 smb:7715 d:s ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:6.49 aq:0.00 tex:211 mv:8 misc:493 imb:0 pmb:8 smb:8152 d:s ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:6.73 aq:0.00 tex:198 mv:51 misc:487 imb:0 pmb:10 smb:8150 d:s ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:6.73 aq:0.00 tex:199 mv:52 misc:493 imb:0 pmb:10 smb:8150 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:4.35 aq:0.22 tex:44100 mv:228 misc:1416 imb:7 pmb:390 smb:7763 d:s ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:5.99 aq:0.00 tex:211 mv:8 misc:493 imb:0 pmb:8 smb:8152 d:s ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:5.99 aq:0.01 tex:243 mv:50 misc:499 imb:0 pmb:11 smb:8149 d:s ref:0 ;
