Key,Total Time (ms),Solve Time (ms),Precond Time (ms),#Iteration
PCG-none-cpu,27.2784,27.2759,0.0025,892.95
PCG-none-cuda,98.5132,98.0137,0.4995,888.2
PCG-diagonal-cpu,17.2344,17.2056,0.0288,534.8
PCG-diagonal-cuda,55.9022,55.72,0.1822,511.35
PCG-ainv-cpu,27.0985,22.8964,4.2021,279.15
PCG-ainv-cuda,39.2114,35.2061,4.0053,276.6
PCG-ic-cpu,16.8021,15.7932,1.0089,154.85
PCG-ic-cuda,77.2841,70.6549,6.6292,152.0
Neural,25.5581,18.9289,6.6292,245.7
Neural+CUDA,38.3204,31.6912,6.6292,245.7
