Key,Total Time (ms),Solve Time (ms),Precond Time (ms),#Iteration
PCG-none-cpu,8.3377,8.3362,0.0014,507.6
PCG-none-cuda,58.7342,58.2671,0.467,511.85
PCG-diagonal-cpu,6.1868,6.1711,0.0157,358.0
PCG-diagonal-cuda,42.3307,42.1517,0.179,374.7
PCG-ainv-cpu,10.6033,8.1694,2.4339,177.85
PCG-ainv-cuda,27.0006,24.6006,2.4,186.7
PCG-ic-cpu,6.6897,6.1424,0.5473,109.5
PCG-ic-cuda,40.1898,36.4358,3.754,103.1
Neural,10.8969,7.1429,3.754,166.95
Neural+CUDA,25.9641,22.2101,3.754,166.95
