Key,Solve Time (ms),Precond Time (ms),#Iteration,Matrix Size
PCG-none-cpu,4.5227,0.0055,620.0,1024
PCG-none-cpu,1.8731,0.003,287.0,1024
PCG-none-cpu,1.6355,0.0018,243.0,1024
PCG-none-cpu,2.3391,0.0019,369.0,1024
PCG-none-cpu,2.1908,0.0017,336.0,1024
PCG-none-cpu,5.4504,0.0025,629.0,1024
PCG-none-cpu,4.4658,0.0033,594.0,1024
PCG-none-cpu,3.043,0.0025,476.0,1024
PCG-none-cpu,4.3245,0.0018,673.0,1024
PCG-none-cpu,2.6088,0.0017,403.0,1024
PCG-none-cpu,1.843,0.0017,276.0,1024
PCG-none-cpu,2.437,0.0018,375.0,1024
PCG-none-cpu,1.5807,0.0015,242.0,1024
PCG-none-cpu,2.0496,0.0018,311.0,1024
PCG-none-cpu,2.1149,0.0018,324.0,1024
PCG-none-cpu,2.1883,0.0018,340.0,1024
PCG-none-cpu,1.6531,0.0023,247.0,1024
PCG-none-cpu,4.3999,0.0017,698.0,1024
PCG-none-cpu,2.3921,0.0021,370.0,1024
PCG-none-cpu,2.603,0.0015,404.0,1024
PCG-none-cuda,65.873,10.3937,355.0,1024
PCG-none-cuda,28.1703,0.0969,287.0,1024
PCG-none-cuda,24.782,0.0894,229.0,1024
PCG-none-cuda,36.1862,0.0906,369.0,1024
PCG-none-cuda,32.9752,0.0853,336.0,1024
PCG-none-cuda,35.6986,0.0972,359.0,1024
PCG-none-cuda,35.6403,0.0951,358.0,1024
PCG-none-cuda,46.6572,0.0888,476.0,1024
PCG-none-cuda,45.6436,0.0932,458.0,1024
PCG-none-cuda,39.7744,0.086,403.0,1024
PCG-none-cuda,27.0156,0.0933,276.0,1024
PCG-none-cuda,36.6144,0.0868,375.0,1024
PCG-none-cuda,23.7052,0.0861,242.0,1024
PCG-none-cuda,30.4145,0.0885,311.0,1024
PCG-none-cuda,31.8393,0.0849,323.0,1024
PCG-none-cuda,33.33,0.0869,340.0,1024
PCG-none-cuda,24.1711,0.087,247.0,1024
PCG-none-cuda,45.2744,0.0877,451.0,1024
PCG-none-cuda,36.0754,0.0889,370.0,1024
PCG-none-cuda,39.5084,0.0843,404.0,1024
PCG-diagonal-cpu,1.6787,0.0121,243.0,1024
PCG-diagonal-cpu,1.6068,0.0088,231.0,1024
PCG-diagonal-cpu,1.5886,0.0092,234.0,1024
PCG-diagonal-cpu,1.6993,0.0093,247.0,1024
PCG-diagonal-cpu,1.676,0.0084,240.0,1024
PCG-diagonal-cpu,1.6019,0.0088,237.0,1024
PCG-diagonal-cpu,3.1341,0.0136,473.0,1024
PCG-diagonal-cpu,1.6918,0.0092,246.0,1024
PCG-diagonal-cpu,1.5128,0.0091,222.0,1024
PCG-diagonal-cpu,1.6999,0.0091,248.0,1024
PCG-diagonal-cpu,1.5458,0.0086,223.0,1024
PCG-diagonal-cpu,1.6148,0.0086,236.0,1024
PCG-diagonal-cpu,1.6406,0.0083,240.0,1024
PCG-diagonal-cpu,1.6489,0.0085,242.0,1024
PCG-diagonal-cpu,2.8722,0.0083,422.0,1024
PCG-diagonal-cpu,1.6286,0.0089,237.0,1024
PCG-diagonal-cpu,1.5698,0.0089,229.0,1024
PCG-diagonal-cpu,2.125,0.009,315.0,1024
PCG-diagonal-cpu,1.6612,0.0088,244.0,1024
PCG-diagonal-cpu,1.5241,0.0081,225.0,1024
PCG-diagonal-cuda,23.9159,1.2004,242.0,1024
PCG-diagonal-cuda,22.861,0.0851,231.0,1024
PCG-diagonal-cuda,23.4011,0.1079,234.0,1024
PCG-diagonal-cuda,24.3933,0.0805,247.0,1024
PCG-diagonal-cuda,23.622,0.0929,240.0,1024
PCG-diagonal-cuda,23.3938,0.0827,237.0,1024
PCG-diagonal-cuda,48.0914,0.0839,471.0,1024
PCG-diagonal-cuda,24.2164,0.0813,246.0,1024
PCG-diagonal-cuda,21.912,0.0841,222.0,1024
PCG-diagonal-cuda,21.9979,0.0932,222.0,1024
PCG-diagonal-cuda,22.0467,0.0797,223.0,1024
PCG-diagonal-cuda,23.2811,0.0836,236.0,1024
PCG-diagonal-cuda,23.8707,0.081,240.0,1024
PCG-diagonal-cuda,23.8826,0.0816,242.0,1024
PCG-diagonal-cuda,43.0567,0.0831,422.0,1024
PCG-diagonal-cuda,23.362,0.0827,237.0,1024
PCG-diagonal-cuda,22.6525,0.0779,229.0,1024
PCG-diagonal-cuda,51.0476,0.0806,493.0,1024
