Key,Solve Time (ms),Precond Time (ms),#Iteration,Matrix Size
PCG-ainv-cpu,17.9201,3.6338,229.0,4096
PCG-ainv-cpu,21.3243,4.4253,288.0,4096
PCG-ainv-cpu,22.1704,4.8557,268.0,4096
PCG-ainv-cpu,42.9483,3.9885,512.0,4096
PCG-ainv-cuda,32.8603,4.3294,258.0,4096
PCG-ainv-cuda,29.4772,3.9935,236.0,4096
PCG-ainv-cuda,29.0162,3.5766,233.0,4096
PCG-ainv-cuda,34.5861,4.1211,274.0,4096
PCG-ainv-cuda,32.2202,3.9023,257.0,4096
PCG-ainv-cuda,32.491,3.8596,257.0,4096
PCG-ainv-cuda,31.8663,4.1061,251.0,4096
PCG-ainv-cuda,38.3316,4.3912,296.0,4096
PCG-ainv-cuda,31.6341,3.8184,249.0,4096
PCG-ainv-cuda,32.8339,3.8042,260.0,4096
PCG-ainv-cuda,31.7693,3.7051,247.0,4096
PCG-ainv-cuda,36.0028,4.3167,280.0,4096
PCG-ainv-cuda,54.5741,3.7941,410.0,4096
PCG-ainv-cuda,31.0137,4.086,246.0,4096
PCG-ainv-cuda,31.4607,3.8188,250.0,4096
PCG-ainv-cuda,31.9794,3.9803,255.0,4096
PCG-ainv-cuda,28.5627,3.7829,229.0,4096
PCG-ainv-cuda,36.0675,4.0754,288.0,4096
PCG-ainv-cuda,33.7254,4.4523,268.0,4096
PCG-ainv-cuda,63.6503,4.1914,488.0,4096
PCG-ic-cpu,16.5793,1.0335,168.0,4096
PCG-ic-cpu,15.4814,1.0044,149.0,4096
PCG-ic-cpu,15.0832,0.9387,157.0,4096
PCG-ic-cpu,15.7725,0.9497,164.0,4096
PCG-ic-cpu,16.5155,0.9652,156.0,4096
PCG-ic-cpu,14.3101,0.9506,146.0,4096
PCG-ic-cpu,13.8924,1.0004,141.0,4096
PCG-ic-cpu,17.069,1.0128,172.0,4096
PCG-ic-cpu,20.5094,1.2257,136.0,4096
PCG-ic-cpu,14.6304,0.9935,144.0,4096
PCG-ic-cpu,15.0142,1.0404,143.0,4096
PCG-ic-cpu,17.951,1.0113,176.0,4096
PCG-ic-cpu,14.6412,1.0556,134.0,4096
PCG-ic-cpu,15.3893,0.9058,162.0,4096
PCG-ic-cpu,13.5991,0.9341,142.0,4096
PCG-ic-cpu,15.4126,0.9528,164.0,4096
PCG-ic-cpu,14.1938,1.0204,136.0,4096
PCG-ic-cpu,17.1978,0.9592,186.0,4096
PCG-ic-cpu,16.2377,1.0205,164.0,4096
PCG-ic-cpu,16.3837,1.2033,157.0,4096
PCG-ic-cuda,70.5354,49.2706,151.0,4096
PCG-ic-cuda,64.0391,1.6506,138.0,4096
PCG-ic-cuda,64.9252,1.6412,140.0,4096
PCG-ic-cuda,69.5101,1.6388,150.0,4096
PCG-ic-cuda,68.9418,1.6578,149.0,4096
PCG-ic-cuda,66.1908,1.653,143.0,4096
PCG-ic-cuda,65.3528,1.6733,141.0,4096
PCG-ic-cuda,71.097,1.6423,154.0,4096
PCG-ic-cuda,63.7511,1.7376,135.0,4096
PCG-ic-cuda,62.7687,1.6415,135.0,4096
PCG-ic-cuda,66.0336,1.6204,142.0,4096
PCG-ic-cuda,120.5348,1.6158,259.0,4096
PCG-ic-cuda,62.9792,1.6503,135.0,4096
PCG-ic-cuda,67.9152,1.5963,144.0,4096
PCG-ic-cuda,65.304,1.6104,141.0,4096
PCG-ic-cuda,90.3085,1.6415,194.0,4096
PCG-ic-cuda,62.5485,1.6576,135.0,4096
PCG-ic-cuda,74.207,53.5984,160.0,4096
PCG-ic-cuda,67.5863,1.6925,146.0,4096
PCG-ic-cuda,68.5697,1.6941,148.0,4096
Neural,18.618,49.2706,244.0,4096
Neural,17.6898,1.6506,222.0,4096
Neural,17.3957,1.6412,227.0,4096
Neural,19.5414,1.6388,244.0,4096
Neural,19.433,1.6578,251.0,4096
Neural,17.9773,1.653,231.0,4096
Neural,16.2529,1.6733,229.0,4096
Neural,18.6495,1.6423,248.0,4096
Neural,19.3595,1.7376,220.0,4096
Neural,17.6922,1.6415,219.0,4096
Neural,18.0308,1.6204,221.0,4096
Neural,18.0174,1.6158,253.0,4096
Neural,28.9261,1.6503,382.0,4096
Neural,18.7958,1.5963,235.0,4096
Neural,17.7231,1.6104,228.0,4096
Neural,17.9485,1.6415,236.0,4096
Neural,16.4432,1.6576,219.0,4096
Neural,23.9499,53.5984,337.0,4096
Neural,17.9131,1.6925,236.0,4096
Neural,18.222,1.6941,232.0,4096
Neural+CUDA,31.049,49.2706,244.0,4096
Neural+CUDA,28.1203,1.6506,222.0,4096
Neural+CUDA,29.3422,1.6412,227.0,4096
Neural+CUDA,30.6422,1.6388,244.0,4096
Neural+CUDA,31.482,1.6578,251.0,4096
Neural+CUDA,29.2778,1.653,231.0,4096
Neural+CUDA,28.8948,1.6733,229.0,4096
Neural+CUDA,31.2059,1.6423,248.0,4096
Neural+CUDA,28.37,1.7376,220.0,4096
Neural+CUDA,27.6674,1.6415,219.0,4096
Neural+CUDA,27.7798,1.6204,221.0,4096
Neural+CUDA,31.7573,1.6158,253.0,4096
Neural+CUDA,33.5245,1.6503,382.0,4096
Neural+CUDA,29.4334,1.5963,235.0,4096
Neural+CUDA,29.1727,1.6104,228.0,4096
Neural+CUDA,31.2416,1.6415,236.0,4096
Neural+CUDA,27.9756,1.6576,219.0,4096
Neural+CUDA,68.4538,53.5984,337.0,4096
Neural+CUDA,29.3977,1.6925,236.0,4096
Neural+CUDA,29.0357,1.6941,232.0,4096
