tag,d_model,num_layers,num_gcn_layers,use_jacobi,target_step,loss_mean_at_target,loss_std_at_target,lr_at_target,forward_inference_ms,apply_M_ms,total_inference_plus_apply_ms,weights_path
d32_L2_gcn2_jac1,32,2,2,1,10000,0.10536528661847115,0.0034956938570787775,1.0000000000000002e-06,1.1691558873280883,0.01010869164019823,1.1792645789682865,leafonly_ablation_weights/d32_L2_gcn2_jac1.bytes
d64_L2_gcn2_jac1,64,2,2,1,10000,0.09410984702408313,0.003039286846397589,1.25e-05,1.2006517499685287,0.010565132834017277,1.211216882802546,leafonly_ablation_weights/d64_L2_gcn2_jac1.bytes
d128_L2_gcn2_jac1,128,2,2,1,10000,0.09055435873568057,0.003580477166510842,3.125e-06,1.1944617377594113,0.010863947682082653,1.205325685441494,leafonly_ablation_weights/d128_L2_gcn2_jac1.bytes
d256_L2_gcn2_jac1,256,2,2,1,10000,0.06892259240150451,0.00342704341706013,2.5e-05,1.1919459095224738,0.010642199777066708,1.2025881092995405,leafonly_ablation_weights/d256_L2_gcn2_jac1.bytes
d512_L2_gcn2_jac1,512,2,2,1,10000,0.05967195842415094,0.002947545437779381,5e-05,1.1994826141744852,0.010062172077596188,1.2095447862520814,leafonly_ablation_weights/d512_L2_gcn2_jac1.bytes
