scale,config,method,device,setup_ms,setup_ms_std,inference_ms,inference_ms_std,solve_ms,solve_ms_std,iters,iters_std,total_ms,total_ms_std,n_frames
2048,v2_2048_d64_L3_hw,cg,gpu,0.0000,0.0000,,,27.4250,15.6660,649.9500,239.5007,27.4250,15.6660,20
2048,v2_2048_d64_L3_hw,cg,cpu,0.0000,0.0000,,,195.3675,96.9754,428.9500,125.0488,195.3675,96.9754,20
2048,v2_2048_d64_L3_hw,jacobi,gpu,0.0000,0.0000,,,16.2890,4.2404,429.0000,111.5810,16.2890,4.2404,20
2048,v2_2048_d64_L3_hw,jacobi,cpu,0.0000,0.0000,,,118.4815,26.4852,310.1000,70.2873,118.4815,26.4852,20
2048,v2_2048_d64_L3_hw,ic_amgx,gpu,11.1820,5.9051,,,221.6640,63.5776,14.8000,0.8335,232.8450,63.0520,20
2048,v2_2048_d64_L3_hw,ic,cpu,4.7205,1.5814,,,52.8550,41.9287,95.6500,22.6188,57.5740,41.8124,20
2048,v2_2048_d64_L3_hw,leafonly,gpu,,,2.9350,0.1118,6.1365,1.8613,73.5000,12.0591,9.0710,1.8278,20
2048,v2_2048_d64_L3_hw,amg_cpu,cpu,9.9305,1.6607,,,9.4595,5.8281,9.0000,6.1900,19.3905,6.2970,20
2048,v2_2048_d64_L3_hw,amgx_gpu,gpu,17.6320,0.7615,,,55.1370,49.2064,1.3000,0.4702,72.7680,49.7660,20
