scale,config,method,device,setup_ms,setup_ms_std,inference_ms,inference_ms_std,solve_ms,solve_ms_std,iters,iters_std,total_ms,total_ms_std,n_frames
4096,v2_4096_d64_L3_hw,cg,gpu,0.0000,0.0000,,,48.1360,20.1023,1153.0500,433.5239,48.1360,20.1023,20
4096,v2_4096_d64_L3_hw,cg,cpu,0.0000,0.0000,,,898.2560,344.1153,510.6000,201.8056,898.2560,344.1153,20
4096,v2_4096_d64_L3_hw,jacobi,gpu,0.0000,0.0000,,,33.1905,18.8173,839.4000,475.8259,33.1905,18.8173,20
4096,v2_4096_d64_L3_hw,jacobi,cpu,0.0000,0.0000,,,633.0540,204.4776,370.7000,93.9295,633.0540,204.4776,20
4096,v2_4096_d64_L3_hw,ic_amgx,gpu,8.8680,0.8309,,,331.0225,62.5734,21.5000,3.8182,339.8905,62.3193,20
4096,v2_4096_d64_L3_hw,ic,cpu,4.8830,0.6021,,,190.8580,55.4449,113.0000,30.7383,195.7390,55.4691,20
4096,v2_4096_d64_L3_hw,leafonly,gpu,,,3.3155,0.4024,9.7500,2.5246,116.7000,30.4529,13.0650,2.5567,20
4096,v2_4096_d64_L3_hw,amg_cpu,cpu,15.5345,9.0490,,,15.5770,18.0860,4.7500,6.6639,31.1115,18.7000,20
4096,v2_4096_d64_L3_hw,amgx_gpu,gpu,19.3765,0.8232,,,71.4230,43.3835,1.4500,0.5104,90.8020,43.2915,20
