scale,config,method,device,setup_ms,setup_ms_std,inference_ms,inference_ms_std,solve_ms,solve_ms_std,iters,iters_std,total_ms,total_ms_std,n_frames
2048,v2_2048_d128_L3_hw,cg,gpu,0.0000,0.0000,,,24.6890,9.0871,649.9500,239.5007,24.6890,9.0871,20
2048,v2_2048_d128_L3_hw,cg,cpu,0.0000,0.0000,,,394.6695,860.4195,428.9500,125.0488,394.6695,860.4195,20
2048,v2_2048_d128_L3_hw,jacobi,gpu,0.0000,0.0000,,,16.1175,4.2308,429.0000,111.5810,16.1175,4.2308,20
2048,v2_2048_d128_L3_hw,jacobi,cpu,0.0000,0.0000,,,145.9190,44.0372,310.1000,70.2873,145.9190,44.0372,20
2048,v2_2048_d128_L3_hw,ic_amgx,gpu,21.9540,53.5762,,,186.4780,15.6498,14.8000,0.8335,208.4340,55.8859,20
2048,v2_2048_d128_L3_hw,ic,cpu,6.0830,4.4905,,,45.5300,16.3784,95.6500,22.6188,51.6130,16.9593,20
2048,v2_2048_d128_L3_hw,leafonly,gpu,,,3.2925,0.3997,5.4830,1.5781,65.7000,16.3421,8.7755,1.5679,20
2048,v2_2048_d128_L3_hw,amg_cpu,cpu,13.1435,10.7524,,,11.6715,9.1435,9.0000,6.1900,24.8150,12.0675,20
2048,v2_2048_d128_L3_hw,amgx_gpu,gpu,39.6445,50.2097,,,42.3790,15.3769,1.3000,0.4702,82.0235,47.9074,20
