scale,config,method,device,setup_ms,setup_ms_std,inference_ms,inference_ms_std,solve_ms,solve_ms_std,iters,iters_std,total_ms,total_ms_std,n_frames
2048,v2_2048_d128_L3_nohw,cg,gpu,0.0000,0.0000,,,23.8925,8.6074,649.9500,239.5007,23.8925,8.6074,20
2048,v2_2048_d128_L3_nohw,cg,cpu,0.0000,0.0000,,,160.4145,45.7145,428.9500,125.0488,160.4145,45.7145,20
2048,v2_2048_d128_L3_nohw,jacobi,gpu,0.0000,0.0000,,,15.9430,4.2697,429.0000,111.5810,15.9430,4.2697,20
2048,v2_2048_d128_L3_nohw,jacobi,cpu,0.0000,0.0000,,,117.2735,29.7848,310.1000,70.2873,117.2735,29.7848,20
2048,v2_2048_d128_L3_nohw,ic_amgx,gpu,9.6875,0.6890,,,180.6260,9.3137,14.8000,0.8335,190.3120,9.2808,20
2048,v2_2048_d128_L3_nohw,ic,cpu,4.8280,0.8569,,,38.7025,9.7572,95.6500,22.6188,43.5315,9.5053,20
2048,v2_2048_d128_L3_nohw,leafonly,gpu,,,2.2375,0.1558,11.5885,9.7788,149.4000,127.4674,13.8255,9.8031,20
2048,v2_2048_d128_L3_nohw,amg_cpu,cpu,9.5620,0.6619,,,9.4400,6.0593,9.0000,6.1900,19.0040,6.3501,20
2048,v2_2048_d128_L3_nohw,amgx_gpu,gpu,17.4095,0.8583,,,40.7405,14.9835,1.3000,0.4702,58.1495,14.9638,20
