scale,exp_name,method,total_time_ms,total_time_ms_std,solve_time_ms,solve_time_ms_std,precond_time_ms,precond_time_ms_std,iterations,iterations_std,n_frames,checkpoint,elapsed_sec,infer_csv,all_infer_csv,infer_log,status
16384,multiphase_v2_16384,Neural,202.3877,43.2791,197.4803,42.6282,4.9074,8.1521,496.4500,106.6467,20,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/530814056699412155/a1789964bbd44718ac7c6fce40cf16c0/checkpoints/multiphase_v2_16384-simple-epoch=499.ckpt,48,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_16384_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_16384_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_16384.log,ok
16384,multiphase_v2_16384,Neural+CUDA,70.9101,22.6189,66.0027,21.5731,4.9074,8.1521,496.4500,106.6467,20,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/530814056699412155/a1789964bbd44718ac7c6fce40cf16c0/checkpoints/multiphase_v2_16384-simple-epoch=499.ckpt,48,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_16384_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_16384_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_16384.log,ok
16384,multiphase_v2_16384,PCG-ainv-cpu,229.7795,135.5826,216.0731,135.4169,13.7064,0.9579,659.7000,423.7077,20,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/530814056699412155/a1789964bbd44718ac7c6fce40cf16c0/checkpoints/multiphase_v2_16384-simple-epoch=499.ckpt,48,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_16384_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_16384_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_16384.log,ok
16384,multiphase_v2_16384,PCG-ainv-cuda,92.3038,39.5752,78.4661,39.7089,13.8377,0.6415,634.1500,316.7104,20,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/530814056699412155/a1789964bbd44718ac7c6fce40cf16c0/checkpoints/multiphase_v2_16384-simple-epoch=499.ckpt,48,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_16384_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_16384_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_16384.log,ok
16384,multiphase_v2_16384,PCG-diagonal-cpu,186.9700,60.6334,186.8757,60.6354,0.0943,0.0159,1104.6500,358.1153,20,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/530814056699412155/a1789964bbd44718ac7c6fce40cf16c0/checkpoints/multiphase_v2_16384-simple-epoch=499.ckpt,48,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_16384_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_16384_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_16384.log,ok
16384,multiphase_v2_16384,PCG-diagonal-cuda,129.2724,48.1106,129.0740,48.1355,0.1984,0.2268,1185.4500,413.5349,20,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/530814056699412155/a1789964bbd44718ac7c6fce40cf16c0/checkpoints/multiphase_v2_16384-simple-epoch=499.ckpt,48,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_16384_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_16384_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_16384.log,ok
16384,multiphase_v2_16384,PCG-ic-cpu,192.9473,63.6933,189.5096,63.7019,3.4377,0.0687,339.9000,114.5572,20,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/530814056699412155/a1789964bbd44718ac7c6fce40cf16c0/checkpoints/multiphase_v2_16384-simple-epoch=499.ckpt,48,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_16384_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_16384_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_16384.log,ok
16384,multiphase_v2_16384,PCG-ic-cuda,255.9255,49.5458,251.0181,49.0113,4.9074,8.1521,305.5500,59.1852,20,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/530814056699412155/a1789964bbd44718ac7c6fce40cf16c0/checkpoints/multiphase_v2_16384-simple-epoch=499.ckpt,48,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_16384_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_16384_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_16384.log,ok
16384,multiphase_v2_16384,PCG-none-cpu,275.2348,111.0309,275.2328,111.0309,0.0020,0.0002,1662.8000,678.7190,20,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/530814056699412155/a1789964bbd44718ac7c6fce40cf16c0/checkpoints/multiphase_v2_16384-simple-epoch=499.ckpt,48,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_16384_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_16384_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_16384.log,ok
16384,multiphase_v2_16384,PCG-none-cuda,177.0112,74.4082,176.7048,74.4331,0.3064,0.7475,1645.7500,679.9633,20,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/530814056699412155/a1789964bbd44718ac7c6fce40cf16c0/checkpoints/multiphase_v2_16384-simple-epoch=499.ckpt,48,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_16384_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_16384_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_16384.log,ok
