model_name,train_split,eval_cell,method,device,setup_ms,setup_ms_std,inference_ms,inference_ms_std,solve_ms,solve_ms_std,iters,iters_std,total_ms,total_ms_std,n_frames,checkpoint,elapsed_sec,infer_csv,all_infer_csv,infer_log,status
neural_spai_4096,multiphase_v2_4096,g4096_eval_id,neural_spai,gpu,,,2.7407,10.8159,31.5384,6.9936,242.4632,37.2567,34.2791,12.9231,95,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/910367005070732457/f8093ddca1854cdf823fd9be16ec01bd/checkpoints/multiphase_v2_4096-simple-epoch=499.ckpt,56,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_generalization_infer_raw/infer_generalization_generalization_4096_g4096_eval_id_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_generalization_infer_raw/all_infer_generalization_generalization_4096_g4096_eval_id_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_generalization_infer_logs/g4096_eval_id.log,ok
neural_spai_4096,multiphase_v2_4096,g4096_eval_closed_only,neural_spai,gpu,,,2.0414,4.5938,31.4223,10.5817,251.9792,67.9997,33.4638,11.5681,96,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/910367005070732457/f8093ddca1854cdf823fd9be16ec01bd/checkpoints/multiphase_v2_4096-simple-epoch=499.ckpt,53,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_generalization_infer_raw/infer_generalization_generalization_4096_g4096_eval_closed_only_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_generalization_infer_raw/all_infer_generalization_generalization_4096_g4096_eval_closed_only_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_generalization_infer_logs/g4096_eval_closed_only.log,ok
neural_spai_4096,multiphase_v2_4096,g4096_eval_param_high,neural_spai,gpu,,,1.8526,2.6772,32.0023,6.5592,250.5806,39.8413,33.8549,6.9324,93,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/910367005070732457/f8093ddca1854cdf823fd9be16ec01bd/checkpoints/multiphase_v2_4096-simple-epoch=499.ckpt,59,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_generalization_infer_raw/infer_generalization_generalization_4096_g4096_eval_param_high_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_generalization_infer_raw/all_infer_generalization_generalization_4096_g4096_eval_param_high_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_generalization_infer_logs/g4096_eval_param_high.log,ok
neural_spai_4096,multiphase_v2_4096,g4096_eval_combo_closed_high,neural_spai,gpu,,,2.2614,5.5409,35.1016,5.9263,257.0312,34.2183,37.363,8.0045,96,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/910367005070732457/f8093ddca1854cdf823fd9be16ec01bd/checkpoints/multiphase_v2_4096-simple-epoch=499.ckpt,73,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_generalization_infer_raw/infer_generalization_generalization_4096_g4096_eval_combo_closed_high_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_generalization_infer_raw/all_infer_generalization_generalization_4096_g4096_eval_combo_closed_high_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_generalization_infer_logs/g4096_eval_combo_closed_high.log,ok
