run,n_points,start_step,end_step,off_over_on_start,off_over_on_end,off_over_on_max,off_over_on_max_step
default_smoothing,270,0,26900,0.593792,0.148966,0.954756,23600
zero_smoothing,122,0,12100,0.598824,0.255854,0.598824,0
