Key,Total Time (ms),Solve Time (ms),Precond Time (ms),#Iteration
PCG-none-cpu,2.7879,2.7858,0.0022,410.85
PCG-none-cuda,36.572,35.9674,0.6045,348.45
PCG-diagonal-cpu,1.7952,1.786,0.0092,261.7
PCG-diagonal-cuda,27.0033,26.8633,0.1401,269.15
PCG-ainv-cpu,3.5441,2.3729,1.1712,127.75
PCG-ainv-cuda,16.167,14.9625,1.2044,128.3
PCG-ic-cpu,2.0573,1.8274,0.2299,79.4
PCG-ic-cuda,25.0843,20.4446,4.6396,73.2
Neural,6.654,2.0143,4.6396,118.0
Neural+CUDA,18.4332,13.7936,4.6396,118.0
