Key,Solve Time (ms),Precond Time (ms),#Iteration,Matrix Size
PCG-none-cpu,8.1248,0.0032,497.0,2048
PCG-none-cpu,7.9446,0.0023,539.0,2048
PCG-none-cpu,6.8616,0.0016,474.0,2048
PCG-none-cpu,5.9527,0.0019,441.0,2048
PCG-none-cuda,92.9555,14.0991,466.0,2048
PCG-none-cuda,57.4286,0.1019,539.0,2048
PCG-none-cuda,50.704,0.0965,474.0,2048
PCG-none-cuda,47.1618,0.1017,441.0,2048
PCG-diagonal-cpu,14.2263,0.0226,697.0,2048
PCG-diagonal-cpu,5.6563,0.0144,374.0,2048
PCG-diagonal-cpu,5.1614,0.0139,335.0,2048
PCG-diagonal-cpu,4.7573,0.0141,324.0,2048
PCG-diagonal-cuda,82.4596,3.1409,733.0,2048
PCG-diagonal-cuda,40.0705,0.0911,374.0,2048
PCG-diagonal-cuda,36.0554,0.0907,335.0,2048
PCG-diagonal-cuda,34.8712,0.0837,324.0,2048
PCG-ainv-cpu,7.8222,2.8585,175.0,2048
PCG-ainv-cpu,7.8544,2.6518,188.0,2048
PCG-ainv-cpu,7.2113,2.3181,179.0,2048
PCG-ainv-cpu,6.5725,2.0171,164.0,2048
PCG-ainv-cuda,22.9382,2.3435,175.0,2048
PCG-ainv-cuda,23.9435,2.5661,188.0,2048
PCG-ainv-cuda,22.5896,2.1612,179.0,2048
PCG-ainv-cuda,21.4684,2.1213,164.0,2048
PCG-ic-cpu,7.5527,0.7044,125.0,2048
PCG-ic-cpu,6.4503,0.5006,134.0,2048
PCG-ic-cpu,5.6488,0.5113,119.0,2048
PCG-ic-cpu,4.9239,0.4959,99.0,2048
PCG-ic-cuda,40.2381,77.2782,108.0,2048
PCG-ic-cuda,40.8562,1.215,116.0,2048
PCG-ic-cuda,36.2103,1.2292,103.0,2048
PCG-ic-cuda,34.1498,1.2234,97.0,2048
Neural,7.6541,77.2782,173.0,2048
Neural,7.4602,1.215,183.0,2048
Neural,6.0976,1.2292,164.0,2048
Neural,5.9883,1.2234,160.0,2048
Neural+CUDA,22.3532,77.2782,173.0,2048
Neural+CUDA,22.9773,1.215,183.0,2048
Neural+CUDA,20.6673,1.2292,164.0,2048
Neural+CUDA,20.279,1.2234,160.0,2048
