Key,Solve Time (ms),Precond Time (ms),#Iteration,Matrix Size
PCG-none-cpu,18.3363,0.0021,691.0,4096
PCG-none-cpu,39.5279,0.0014,1459.0,4096
PCG-none-cpu,32.8784,0.0012,1237.0,4096
PCG-none-cpu,18.9159,0.0015,650.0,4096
PCG-none-cuda,79.6419,0.3451,691.0,4096
PCG-none-cuda,85.673,0.083,808.0,4096
PCG-none-cuda,139.3197,0.0839,1284.0,4096
PCG-none-cuda,69.2538,0.0879,651.0,4096
PCG-diagonal-cpu,13.8271,0.0415,497.0,4096
PCG-diagonal-cpu,31.492,0.0226,1130.0,4096
PCG-diagonal-cpu,15.0332,0.0232,537.0,4096
PCG-diagonal-cpu,12.8694,0.0236,455.0,4096
PCG-diagonal-cuda,52.4667,0.4417,497.0,4096
PCG-diagonal-cuda,117.638,0.0865,1062.0,4096
PCG-diagonal-cuda,51.2434,0.0849,480.0,4096
PCG-diagonal-cuda,48.2689,0.088,455.0,4096
PCG-ainv-cpu,18.9114,4.3548,258.0,4096
PCG-ainv-cpu,22.8869,4.5347,288.0,4096
PCG-ainv-cpu,18.9757,3.6616,255.0,4096
PCG-ainv-cpu,16.556,3.3585,236.0,4096
PCG-ainv-cuda,31.5884,3.5836,258.0,4096
PCG-ainv-cuda,33.2627,3.7883,272.0,4096
PCG-ainv-cuda,31.6937,4.0041,255.0,4096
PCG-ainv-cuda,28.8765,3.2977,236.0,4096
PCG-ic-cpu,15.0905,0.8507,168.0,4096
PCG-ic-cpu,16.4721,0.8619,186.0,4096
PCG-ic-cpu,15.3855,0.8905,164.0,4096
PCG-ic-cpu,13.9479,0.8484,149.0,4096
PCG-ic-cuda,69.4978,28.3888,151.0,4096
PCG-ic-cuda,73.5302,1.4992,160.0,4096
PCG-ic-cuda,89.8428,1.4939,194.0,4096
PCG-ic-cuda,63.6922,1.4946,138.0,4096
Neural,18.4908,28.3888,244.0,4096
Neural,34.3292,1.4992,517.0,4096
Neural,16.3982,1.4939,236.0,4096
Neural,16.8589,1.4946,222.0,4096
Neural+CUDA,29.9598,28.3888,244.0,4096
Neural+CUDA,43.7357,1.4992,517.0,4096
Neural+CUDA,29.6511,1.4939,236.0,4096
Neural+CUDA,27.9413,1.4946,222.0,4096
