Key,Total Time (ms),Solve Time (ms),Precond Time (ms),#Iteration
PCG-none-cpu,94.2311,94.2285,0.0026,1366.0
PCG-none-cuda,125.7906,125.2703,0.5202,1122.3684
PCG-diagonal-cpu,54.506,54.4486,0.0574,746.4211
PCG-diagonal-cuda,84.6784,84.5033,0.1751,751.5789
PCG-ainv-cpu,80.0511,71.5849,8.4663,389.7778
PCG-ainv-cuda,60.8391,51.447,9.3921,391.3889
PCG-ic-cpu,55.4524,53.31,2.1423,234.2778
PCG-ic-cuda,134.4926,130.1322,4.3603,217.3889
Neural,62.3013,57.941,4.3603,338.1111
Neural+CUDA,48.1431,43.7828,4.3603,338.1111
