Key,Total Time (ms),Solve Time (ms),Precond Time (ms),#Iteration
PCG-none-cpu,27.4162,27.4146,0.0016,1009.25
PCG-none-cuda,93.6221,93.4721,0.15,858.5
PCG-diagonal-cpu,18.3331,18.3054,0.0277,654.75
PCG-diagonal-cuda,67.5795,67.4043,0.1753,623.5
PCG-ainv-cpu,23.3099,19.3325,3.9774,259.25
PCG-ainv-cuda,35.0237,31.3553,3.6684,255.25
PCG-ic-cpu,16.0869,15.224,0.8629,166.75
PCG-ic-cuda,82.3599,74.1408,8.2191,160.75
Neural,29.7384,21.5193,8.2191,304.75
Neural+CUDA,41.0411,32.822,8.2191,304.75
