Key,Solve Time (ms),Precond Time (ms),#Iteration,Matrix Size
PCG-none-cpu,3.9183,0.0021,620.0,1024
PCG-none-cpu,4.3826,0.0014,698.0,1024
PCG-none-cpu,2.1616,0.0012,340.0,1024
PCG-none-cpu,2.1532,0.0012,287.0,1024
PCG-none-cuda,42.5978,0.3726,355.0,1024
PCG-none-cuda,45.2648,0.0837,451.0,1024
PCG-none-cuda,33.8089,0.0831,340.0,1024
PCG-none-cuda,28.3876,0.0922,287.0,1024
PCG-diagonal-cpu,1.6565,0.0151,243.0,1024
PCG-diagonal-cpu,2.1376,0.0079,315.0,1024
PCG-diagonal-cpu,1.622,0.0079,237.0,1024
PCG-diagonal-cpu,1.7741,0.0079,231.0,1024
PCG-diagonal-cuda,23.9448,0.4529,242.0,1024
PCG-diagonal-cuda,50.4775,0.0782,493.0,1024
PCG-diagonal-cuda,23.3509,0.0775,237.0,1024
PCG-diagonal-cuda,23.0215,0.08,231.0,1024
PCG-ainv-cpu,2.2674,1.2878,123.0,1024
PCG-ainv-cpu,2.4018,1.4224,127.0,1024
PCG-ainv-cpu,2.3146,1.1534,124.0,1024
PCG-ainv-cpu,2.0679,1.0172,114.0,1024
PCG-ainv-cuda,14.1641,1.1908,123.0,1024
PCG-ainv-cuda,15.3731,1.3854,133.0,1024
PCG-ainv-cuda,14.3278,1.245,124.0,1024
PCG-ainv-cuda,13.2458,1.106,114.0,1024
PCG-ic-cpu,1.9868,0.2228,88.0,1024
PCG-ic-cpu,2.8488,0.2189,121.0,1024
PCG-ic-cpu,1.9515,0.2163,86.0,1024
PCG-ic-cpu,1.679,0.2273,73.0,1024
PCG-ic-cuda,21.7022,28.3009,77.0,1024
PCG-ic-cuda,23.2918,0.9152,83.0,1024
PCG-ic-cuda,20.5147,0.8898,73.0,1024
PCG-ic-cuda,19.9349,0.8927,71.0,1024
Neural,2.09,28.3009,121.0,1024
Neural,2.3228,0.9152,135.0,1024
Neural,3.8018,0.8898,117.0,1024
Neural,1.9072,0.8927,114.0,1024
Neural+CUDA,14.0506,28.3009,121.0,1024
Neural+CUDA,15.6821,0.9152,135.0,1024
Neural+CUDA,14.5551,0.8898,117.0,1024
Neural+CUDA,13.2376,0.8927,114.0,1024
